693.6522 675.5252, 0.120000005 0.120000005 0.0
665.33936 707.3801, 0.14500001 0.120000005 0.0
635.3115 676.4747, 0.14500001 0.14500001 0.0
663.5682 645.0034, 0.120000005 0.14500001 0.0
765.29803 674.362, 0.09 0.09 0.0
737.3498 706.0608, 0.115 0.09 0.0
706.5048 675.1605, 0.115 0.115 0.0
734.3941 643.7483, 0.09 0.115 0.0
837.17944 673.0579, 0.060000002 0.060000002 0.0
809.50085 704.86224, 0.085 0.060000002 0.0
777.91943 673.9951, 0.085 0.085 0.0
805.5984 642.5362, 0.060000002 0.085 0.0
908.7118 671.7004, 0.030000001 0.030000001 0.0
881.65234 703.4649, 0.055 0.030000001 0.0
849.866 672.6679, 0.055 0.055 0.0
876.76056 641.46497, 0.030000001 0.055 0.0
727.64685 637.20575, 0.09 0.120000005 0.0
699.7941 668.4613, 0.115 0.120000005 0.0
669.6349 638.1431, 0.115 0.14500001 0.0
697.49866 607.2551, 0.09 0.14500001 0.0
657.02515 638.31384, 0.120000005 0.15 0.0
628.6671 669.7536, 0.14500001 0.15 0.0
599.32654 639.5586, 0.14500001 0.17500001 0.0
627.51917 608.5393, 0.120000005 0.17500001 0.0
798.8116 635.90186, 0.060000002 0.09 0.0
771.2905 667.42163, 0.085 0.09 0.0
740.3624 636.807, 0.085 0.115 0.0
767.79034 605.93146, 0.060000002 0.115 0.0
941.30597 633.56384, 0.0 0.030000001 0.0
914.4603 664.7991, 0.025 0.030000001 0.0
882.62384 634.5501, 0.025 0.055 0.0
909.2786 603.8131, 0.0 0.055 0.0
869.86237 634.8316, 0.030000001 0.060000002 0.0
842.84686 666.0976, 0.055 0.060000002 0.0
811.42975 635.592, 0.055 0.085 0.0
838.3922 604.93335, 0.030000001 0.085 0.0
621.208 602.1459, 0.120000005 0.18 0.0
592.764 633.0027, 0.14500001 0.18 0.0
564.06506 603.46954, 0.14500001 0.20500001 0.0
592.3397 573.1173, 0.120000005 0.20500001 0.0
690.91425 600.7255, 0.09 0.15 0.0
663.14276 631.53265, 0.115 0.15 0.0
633.5547 601.8489, 0.115 0.17500001 0.0
661.4152 571.7122, 0.09 0.17500001 0.0
761.1164 599.48816, 0.060000002 0.120000005 0.0
733.6609 630.34656, 0.085 0.120000005 0.0
703.4445 600.56445, 0.085 0.14500001 0.0
730.8807 570.1685, 0.060000002 0.14500001 0.0
831.5398 598.4227, 0.030000001 0.09 0.0
804.61597 629.08325, 0.055 0.09 0.0
773.7276 599.322, 0.055 0.115 0.0
800.56085 569.07556, 0.030000001 0.115 0.0
902.321 597.3441, 0.0 0.060000002 0.0
875.6787 628.1188, 0.025 0.060000002 0.0
844.3289 598.18463, 0.025 0.085 0.0
870.6927 567.96765, 0.0 0.085 0.0
655.016 565.416, 0.09 0.18 0.0
627.2786 595.4287, 0.115 0.18 0.0
598.3782 566.53094, 0.115 0.20500001 0.0
626.1509 536.7944, 0.09 0.20500001 0.0
724.41516 563.8643, 0.060000002 0.15 0.0
696.78687 594.16516, 0.085 0.15 0.0
667.28925 565.106, 0.085 0.17500001 0.0
694.74835 535.2982, 0.060000002 0.17500001 0.0
793.83264 562.67334, 0.030000001 0.120000005 0.0
767.02484 592.8322, 0.055 0.120000005 0.0
736.7332 563.63464, 0.055 0.14500001 0.0
763.6148 534.18854, 0.030000001 0.14500001 0.0
863.85895 561.59686, 0.0 0.09 0.0
837.45825 591.7341, 0.025 0.09 0.0
806.411 562.43054, 0.025 0.115 0.0
832.82104 532.6816, 0.0 0.115 0.0
688.4341 529.1989, 0.060000002 0.18 0.0
660.9348 558.83215, 0.085 0.18 0.0
632.0167 530.50024, 0.085 0.20500001 0.0
659.5479 501.4213, 0.060000002 0.20500001 0.0
757.0447 527.861, 0.030000001 0.15 0.0
730.1726 557.2987, 0.055 0.15 0.0
700.5235 528.8673, 0.055 0.17500001 0.0
727.4669 500.0911, 0.030000001 0.17500001 0.0
826.14014 526.56757, 0.0 0.120000005 0.0
799.6406 556.1298, 0.025 0.120000005 0.0
769.3034 527.62683, 0.025 0.14500001 0.0
795.7767 498.47534, 0.0 0.14500001 0.0
720.9903 493.95935, 0.030000001 0.18 0.0
694.25433 522.7494, 0.055 0.18 0.0
665.30005 495.052, 0.055 0.20500001 0.0
692.0268 466.659, 0.030000001 0.20500001 0.0
789.2419 492.45306, 0.0 0.15 0.0
762.7014 521.50555, 0.025 0.15 0.0
733.1588 493.6351, 0.025 0.17500001 0.0
759.6877 465.1151, 0.0 0.17500001 0.0
753.3421 459.11743, 0.0 0.18 0.0
726.66785 487.63354, 0.025 0.18 0.0
697.7635 460.51376, 0.025 0.20500001 0.0
724.3502 432.3877, 0.0 0.20500001 0.0
980.4911 670.09326, 0.0 0.0 0.0
953.6809 701.8843, 0.025 0.0 0.0
921.54425 671.4068, 0.025 0.025 0.0
948.29004 640.12274, 0.0 0.025 0.0
