808.6235 696.3161, 0.060000002 0.120000005 0.0
764.6187 710.89954, 0.085 0.120000005 0.0
748.5814 664.2177, 0.085 0.14500001 0.0
791.6447 649.7777, 0.060000002 0.14500001 0.0
862.1996 678.7146, 0.030000001 0.120000005 0.0
818.29663 693.36865, 0.055 0.120000005 0.0
801.2672 646.9079, 0.055 0.14500001 0.0
844.2227 632.7402, 0.030000001 0.14500001 0.0
684.45074 673.8699, 0.120000005 0.15 0.0
642.0964 688.3499, 0.14500001 0.15 0.0
628.84735 643.3463, 0.14500001 0.17500001 0.0
670.2666 628.82196, 0.120000005 0.17500001 0.0
916.10834 661.205, 0.0 0.120000005 0.0
871.91644 675.99225, 0.025 0.120000005 0.0
853.65717 629.7765, 0.025 0.14500001 0.0
897.2884 615.47754, 0.0 0.14500001 0.0
736.126 656.5851, 0.09 0.15 0.0
693.7178 670.99243, 0.115 0.15 0.0
679.4462 626.00366, 0.115 0.17500001 0.0
720.97095 611.9512, 0.09 0.17500001 0.0
788.4154 639.58734, 0.060000002 0.15 0.0
745.4365 653.7759, 0.085 0.15 0.0
730.14166 609.1648, 0.085 0.17500001 0.0
771.99445 594.9771, 0.060000002 0.17500001 0.0
840.5869 622.48596, 0.030000001 0.15 0.0
797.74976 636.64703, 0.055 0.15 0.0
781.3586 592.257, 0.055 0.17500001 0.0
823.41943 578.51227, 0.030000001 0.17500001 0.0
667.5366 619.1444, 0.120000005 0.18 0.0
626.3016 633.23376, 0.14500001 0.18 0.0
613.6076 590.13245, 0.14500001 0.20500001 0.0
654.1383 576.1932, 0.120000005 0.20500001 0.0
893.4538 605.4007, 0.0 0.15 0.0
850.1414 619.637, 0.025 0.15 0.0
832.5817 575.5747, 0.025 0.17500001 0.0
875.3217 561.5094, 0.0 0.17500001 0.0
718.11304 602.06274, 0.09 0.18 0.0
676.63605 616.1909, 0.115 0.18 0.0
663.0631 573.5049, 0.115 0.20500001 0.0
703.6818 559.5271, 0.09 0.20500001 0.0
769.1574 585.20703, 0.060000002 0.18 0.0
727.2151 599.41455, 0.085 0.18 0.0
712.5079 556.7617, 0.085 0.20500001 0.0
753.5141 542.8544, 0.060000002 0.20500001 0.0
819.8198 568.5701, 0.030000001 0.18 0.0
778.16565 582.51904, 0.055 0.18 0.0
762.49304 540.2422, 0.055 0.20500001 0.0
803.4505 526.56995, 0.030000001 0.20500001 0.0
871.56793 551.73236, 0.0 0.18 0.0
829.2504 565.84045, 0.025 0.18 0.0
812.46735 523.7132, 0.025 0.20500001 0.0
853.8115 509.9842, 0.0 0.20500001 0.0
