765.34314 650.5363, 0.120000005 0.120000005 0.0
791.89014 684.88306, 0.14500001 0.120000005 0.0
759.4635 711.1917, 0.14500001 0.14500001 0.0
733.02527 676.5287, 0.120000005 0.14500001 0.0
694.4271 640.3785, 0.09 0.15 0.0
720.2537 674.5972, 0.115 0.15 0.0
687.93243 700.8841, 0.115 0.17500001 0.0
662.3181 666.458, 0.09 0.17500001 0.0
624.3091 630.2914, 0.060000002 0.18 0.0
649.6135 664.41, 0.085 0.18 0.0
617.40845 690.65533, 0.085 0.20500001 0.0
592.22876 656.31647, 0.060000002 0.20500001 0.0
804.4062 618.7075, 0.120000005 0.09 0.0
831.3937 652.9509, 0.14500001 0.09 0.0
798.96875 679.35693, 0.14500001 0.115 0.0
772.4292 644.8106, 0.120000005 0.115 0.0
733.4814 608.8269, 0.09 0.120000005 0.0
759.5786 642.7167, 0.115 0.120000005 0.0
727.48926 668.8943, 0.115 0.14500001 0.0
701.5195 634.7046, 0.09 0.14500001 0.0
663.3744 598.95355, 0.060000002 0.15 0.0
688.9393 632.824, 0.085 0.15 0.0
656.85565 658.8467, 0.085 0.17500001 0.0
631.4651 624.72833, 0.060000002 0.17500001 0.0
594.34296 589.6946, 0.030000001 0.18 0.0
619.0069 622.7765, 0.055 0.18 0.0
586.8715 648.7684, 0.055 0.20500001 0.0
562.51587 615.338, 0.030000001 0.20500001 0.0
843.4063 587.4109, 0.120000005 0.060000002 0.0
870.5864 621.34766, 0.14500001 0.060000002 0.0
838.43915 647.38196, 0.14500001 0.085 0.0
811.4779 613.2327, 0.120000005 0.085 0.0
772.38525 577.6861, 0.09 0.09 0.0
798.69025 611.2772, 0.115 0.09 0.0
766.63477 637.2469, 0.115 0.115 0.0
740.49194 603.31177, 0.09 0.115 0.0
702.09656 567.882, 0.060000002 0.120000005 0.0
727.9747 601.3986, 0.085 0.120000005 0.0
696.142 627.3217, 0.085 0.14500001 0.0
670.40326 593.4652, 0.060000002 0.14500001 0.0
633.1202 558.69824, 0.030000001 0.15 0.0
657.95026 591.6175, 0.055 0.15 0.0
626.20404 617.3068, 0.055 0.17500001 0.0
601.3482 584.1702, 0.030000001 0.17500001 0.0
882.3597 556.34454, 0.120000005 0.030000001 0.0
909.69617 589.82874, 0.14500001 0.030000001 0.0
877.5857 615.66876, 0.14500001 0.055 0.0
850.39014 581.92487, 0.120000005 0.055 0.0
564.62036 549.47003, 0.0 0.18 0.0
589.1772 582.27686, 0.025 0.18 0.0
557.3877 607.888, 0.025 0.20500001 0.0
532.9368 574.7752, 0.0 0.20500001 0.0
810.9583 546.45715, 0.09 0.060000002 0.0
837.67926 580.03424, 0.115 0.060000002 0.0
805.7675 605.74567, 0.115 0.085 0.0
779.3706 572.1137, 0.09 0.085 0.0
740.66125 537.0499, 0.060000002 0.09 0.0
766.76447 570.2877, 0.085 0.09 0.0
734.89685 595.8967, 0.085 0.115 0.0
709.0879 562.49615, 0.060000002 0.115 0.0
671.55774 528.1819, 0.030000001 0.120000005 0.0
696.6807 560.6366, 0.055 0.120000005 0.0
665.1417 586.09265, 0.055 0.14500001 0.0
640.0496 553.33887, 0.030000001 0.14500001 0.0
921.28076 525.367, 0.120000005 0.0 0.0
948.7119 558.5223, 0.14500001 0.0 0.0
916.6938 584.2748, 0.14500001 0.025 0.0
889.31506 550.71454, 0.120000005 0.025 0.0
603.15173 518.9803, 0.0 0.15 0.0
627.76764 551.44574, 0.025 0.15 0.0
596.2195 576.786, 0.025 0.17500001 0.0
571.5711 543.9237, 0.0 0.17500001 0.0
849.5953 515.8565, 0.09 0.030000001 0.0
876.5577 548.8763, 0.115 0.030000001 0.0
844.63873 574.4839, 0.115 0.055 0.0
817.92 541.20685, 0.09 0.055 0.0
779.1786 506.425, 0.060000002 0.060000002 0.0
805.394 539.31915, 0.085 0.060000002 0.0
773.7195 564.79175, 0.085 0.085 0.0
747.571 531.67365, 0.060000002 0.085 0.0
709.9324 497.64352, 0.030000001 0.09 0.0
735.3214 529.8256, 0.055 0.09 0.0
703.69226 555.2368, 0.055 0.115 0.0
678.4564 522.69696, 0.030000001 0.115 0.0
641.4248 488.71094, 0.0 0.120000005 0.0
666.337 520.8139, 0.025 0.120000005 0.0
634.8265 546.0925, 0.025 0.14500001 0.0
610.0726 513.577, 0.0 0.14500001 0.0
888.1943 485.24152, 0.09 0.0 0.0
915.48694 518.00214, 0.115 0.0 0.0
883.54425 543.4211, 0.115 0.025 0.0
856.5106 510.42126, 0.09 0.025 0.0
817.4456 476.15027, 0.060000002 0.030000001 0.0
843.8867 508.61588, 0.085 0.030000001 0.0
812.3917 533.80493, 0.085 0.055 0.0
786.0889 501.2604, 0.060000002 0.055 0.0
748.1203 467.44586, 0.030000001 0.060000002 0.0
773.62585 499.4281, 0.055 0.060000002 0.0
742.24896 524.45703, 0.055 0.085 0.0
716.7848 492.34106, 0.030000001 0.085 0.0
679.55383 458.73172, 0.0 0.09 0.0
704.58966 490.51736, 0.025 0.09 0.0
673.2395 515.5486, 0.025 0.115 0.0
648.3838 483.4451, 0.0 0.115 0.0
855.90564 445.93835, 0.060000002 0.0 0.0
882.45374 478.15, 0.085 0.0 0.0
850.85614 503.29584, 0.085 0.025 0.0
824.32166 470.8167, 0.060000002 0.025 0.0
786.19916 437.53476, 0.030000001 0.030000001 0.0
811.9266 469.1455, 0.055 0.030000001 0.0
780.592 494.0773, 0.055 0.055 0.0
754.9053 462.1167, 0.030000001 0.055 0.0
717.53925 428.94574, 0.0 0.060000002 0.0
742.6966 460.42252, 0.025 0.060000002 0.0
711.49646 485.23145, 0.025 0.085 0.0
686.4469 453.46402, 0.0 0.085 0.0
824.2192 407.70758, 0.030000001 0.0 0.0
850.17596 439.17755, 0.055 0.0 0.0
818.8549 463.82324, 0.055 0.025 0.0
792.91736 432.17368, 0.030000001 0.025 0.0
755.3706 399.20114, 0.0 0.030000001 0.0
780.6561 430.50015, 0.025 0.030000001 0.0
749.56256 455.1213, 0.025 0.055 0.0
724.3584 423.62405, 0.0 0.055 0.0
792.9928 369.57227, 0.0 0.0 0.0
818.63477 400.65485, 0.025 0.0 0.0
787.56665 425.2338, 0.025 0.025 0.0
762.03625 394.09888, 0.0 0.025 0.0
