1148.8778 445.81125, 0.120000005 0.0 0.0
1121.7937 481.56122, 0.14500001 0.0 0.0
1080.7854 456.6189, 0.14500001 0.025 0.0
1106.9209 421.09912, 0.120000005 0.025 0.0
1047.9102 387.00967, 0.120000005 0.060000002 0.0
1022.7989 422.3311, 0.14500001 0.060000002 0.0
983.7017 398.8966, 0.14500001 0.085 0.0
1008.1369 363.93582, 0.120000005 0.085 0.0
1130.2126 371.12897, 0.09 0.030000001 0.0
1103.342 407.81503, 0.115 0.030000001 0.0
1062.3206 384.03598, 0.115 0.055 0.0
1088.3765 347.42245, 0.09 0.055 0.0
999.3742 359.18927, 0.120000005 0.09 0.0
975.19916 394.1433, 0.14500001 0.09 0.0
937.28314 371.5641, 0.14500001 0.115 0.0
960.6165 336.83994, 0.120000005 0.115 0.0
1079.2246 342.45862, 0.09 0.060000002 0.0
1053.3564 378.92188, 0.115 0.060000002 0.0
1013.25854 355.9565, 0.115 0.085 0.0
1038.499 319.7312, 0.09 0.085 0.0
952.15924 332.29822, 0.120000005 0.120000005 0.0
928.92773 366.95807, 0.14500001 0.120000005 0.0
892.51764 345.2637, 0.14500001 0.14500001 0.0
914.8888 310.6213, 0.120000005 0.14500001 0.0
1163.6785 324.62354, 0.060000002 0.030000001 0.0
1135.8414 362.77496, 0.085 0.030000001 0.0
1093.953 339.13577, 0.085 0.055 0.0
1120.755 301.18225, 0.060000002 0.055 0.0
1029.5409 314.9068, 0.09 0.09 0.0
1004.5353 351.1323, 0.115 0.09 0.0
965.6539 328.81253, 0.115 0.115 0.0
989.9232 292.74692, 0.09 0.115 0.0
906.6674 306.19733, 0.120000005 0.15 0.0
884.5199 340.66394, 0.14500001 0.15 0.0
849.45264 319.76877, 0.14500001 0.17500001 0.0
870.7062 285.6669, 0.120000005 0.17500001 0.0
1111.3698 296.29944, 0.060000002 0.060000002 0.0
1084.6714 334.1943, 0.085 0.060000002 0.0
1043.8424 311.38052, 0.085 0.085 0.0
1069.7 273.58707, 0.060000002 0.085 0.0
981.2149 288.29877, 0.09 0.120000005 0.0
957.2148 324.2258, 0.115 0.120000005 0.0
919.5923 302.82428, 0.115 0.14500001 0.0
942.9783 267.01376, 0.09 0.14500001 0.0
862.92487 281.30948, 0.120000005 0.18 0.0
841.76434 315.4253, 0.14500001 0.18 0.0
808.02155 295.28226, 0.14500001 0.20500001 0.0
828.4659 261.31088, 0.120000005 0.20500001 0.0
1198.3397 276.66003, 0.030000001 0.030000001 0.0
1169.5417 316.0626, 0.055 0.030000001 0.0
1126.5261 292.56723, 0.055 0.055 0.0
1154.0114 253.47215, 0.030000001 0.055 0.0
1060.6509 268.86444, 0.060000002 0.09 0.0
1034.8618 306.6302, 0.085 0.09 0.0
995.0257 284.52997, 0.085 0.115 0.0
1020.23975 247.00317, 0.060000002 0.115 0.0
934.4266 262.5978, 0.09 0.15 0.0
911.38025 298.36362, 0.115 0.15 0.0
875.37744 277.68408, 0.115 0.17500001 0.0
897.58777 242.27637, 0.09 0.17500001 0.0
1144.3286 248.60445, 0.030000001 0.060000002 0.0
1117.0872 287.68707, 0.055 0.060000002 0.0
1075.2422 265.09448, 0.055 0.085 0.0
1101.7278 226.23964, 0.030000001 0.085 0.0
1011.2435 242.52167, 0.060000002 0.120000005 0.0
986.25916 280.00974, 0.085 0.120000005 0.0
947.80676 258.87097, 0.085 0.14500001 0.0
972.0524 221.50543, 0.060000002 0.14500001 0.0
889.4873 237.95653, 0.09 0.18 0.0
867.39514 273.37866, 0.115 0.18 0.0
832.7721 253.40689, 0.115 0.20500001 0.0
854.0153 218.34221, 0.09 0.20500001 0.0
1092.3761 221.53128, 0.030000001 0.09 0.0
1066.1062 260.41614, 0.055 0.09 0.0
1025.4415 238.55638, 0.055 0.115 0.0
1050.8934 199.87523, 0.030000001 0.115 0.0
963.4033 217.26247, 0.060000002 0.15 0.0
939.3636 254.45258, 0.085 0.15 0.0
902.25543 234.0966, 0.085 0.17500001 0.0
925.49805 197.04524, 0.060000002 0.17500001 0.0
1178.7213 199.25395, 0.0 0.060000002 0.0
1150.3456 239.77197, 0.025 0.060000002 0.0
1107.5133 217.40889, 0.025 0.085 0.0
1134.6595 177.15329, 0.0 0.085 0.0
1041.8192 195.50372, 0.030000001 0.120000005 0.0
1016.4377 234.02603, 0.055 0.120000005 0.0
977.1574 213.14015, 0.055 0.14500001 0.0
1001.8395 174.75243, 0.030000001 0.14500001 0.0
917.2057 192.73955, 0.060000002 0.18 0.0
894.1022 229.88019, 0.085 0.18 0.0
858.47516 210.2189, 0.085 0.20500001 0.0
880.66235 173.38419, 0.060000002 0.20500001 0.0
1125.1835 172.53154, 0.0 0.09 0.0
1098.0566 212.72636, 0.025 0.09 0.0
1056.3604 191.18225, 0.025 0.115 0.0
1082.5889 151.25673, 0.0 0.115 0.0
992.8589 170.49908, 0.030000001 0.15 0.0
968.41345 208.69215, 0.055 0.15 0.0
930.4957 188.58424, 0.055 0.17500001 0.0
954.13934 150.54298, 0.030000001 0.17500001 0.0
945.53516 146.47293, 0.030000001 0.18 0.0
921.97064 184.45758, 0.055 0.18 0.0
885.36816 165.03061, 0.055 0.20500001 0.0
908.1605 127.377525, 0.030000001 0.20500001 0.0
1073.3744 146.81332, 0.0 0.120000005 0.0
1047.2863 186.73517, 0.025 0.120000005 0.0
1006.9537 166.1026, 0.025 0.14500001 0.0
1032.4238 126.35744, 0.0 0.14500001 0.0
1023.3033 122.19252, 0.0 0.15 0.0
998.1237 161.8206, 0.025 0.15 0.0
959.15424 141.92664, 0.025 0.17500001 0.0
983.60425 102.47176, 0.0 0.17500001 0.0
974.759 98.317375, 0.0 0.18 0.0
950.5709 137.68758, 0.025 0.18 0.0
912.91486 118.64989, 0.025 0.20500001 0.0
936.45685 79.44422, 0.0 0.20500001 0.0
1097.7076 415.85403, 0.120000005 0.030000001 0.0
1071.6538 451.44812, 0.14500001 0.030000001 0.0
1031.6741 427.35062, 0.14500001 0.055 0.0
1056.8832 392.10953, 0.120000005 0.055 0.0
1182.9562 400.73837, 0.09 0.0 0.0
1154.7638 437.70667, 0.115 0.0 0.0
1112.5917 412.9683, 0.115 0.025 0.0
1139.6534 376.28375, 0.09 0.025 0.0
1218.2761 354.15973, 0.060000002 0.0 0.0
1188.8892 392.3679, 0.085 0.0 0.0
1145.4371 367.79816, 0.085 0.025 0.0
1173.4271 329.66602, 0.060000002 0.025 0.0
1254.5748 305.70578, 0.030000001 0.0 0.0
1224.1898 345.42633, 0.055 0.0 0.0
1179.3278 321.07858, 0.055 0.025 0.0
1208.3585 281.74567, 0.030000001 0.025 0.0
1234.5886 226.61023, 0.0 0.030000001 0.0
1204.5149 267.66937, 0.025 0.030000001 0.0
1160.0026 244.49136, 0.025 0.055 0.0
1188.6968 203.9206, 0.0 0.055 0.0
