335.2758 647.7636, 0.09 0.18 0.0
374.92938 667.7505, 0.115 0.18 0.0
347.64368 707.8731, 0.115 0.20500001 0.0
307.28973 688.37823, 0.09 0.20500001 0.0
284.3081 622.117, 0.060000002 0.18 0.0
326.23627 643.3889, 0.085 0.18 0.0
298.01227 684.26337, 0.085 0.20500001 0.0
255.46837 663.5648, 0.060000002 0.20500001 0.0
416.33853 623.0492, 0.120000005 0.15 0.0
453.43198 642.74036, 0.14500001 0.15 0.0
427.24976 682.1394, 0.14500001 0.17500001 0.0
389.37164 662.8294, 0.120000005 0.17500001 0.0
369.19852 598.18176, 0.09 0.15 0.0
407.9401 618.7439, 0.115 0.15 0.0
380.6788 658.6838, 0.115 0.17500001 0.0
341.18384 638.60297, 0.09 0.17500001 0.0
231.4822 595.3229, 0.030000001 0.18 0.0
274.7733 617.5315, 0.055 0.18 0.0
245.83713 659.0787, 0.055 0.20500001 0.0
201.83658 637.36255, 0.030000001 0.20500001 0.0
448.77298 574.9755, 0.120000005 0.120000005 0.0
484.7524 595.23254, 0.14500001 0.120000005 0.0
458.9284 633.978, 0.14500001 0.14500001 0.0
421.96353 613.99, 0.120000005 0.14500001 0.0
319.3404 571.7695, 0.060000002 0.15 0.0
360.32962 593.68164, 0.085 0.15 0.0
332.1845 634.27405, 0.085 0.17500001 0.0
290.43582 612.78723, 0.060000002 0.17500001 0.0
175.72563 566.89215, 0.0 0.18 0.0
221.56078 590.38947, 0.025 0.18 0.0
191.77524 632.7393, 0.025 0.20500001 0.0
145.10645 609.7493, 0.0 0.20500001 0.0
402.56903 549.14813, 0.09 0.120000005 0.0
440.44858 570.4087, 0.115 0.120000005 0.0
413.62897 609.8614, 0.115 0.14500001 0.0
374.88895 589.01855, 0.09 0.14500001 0.0
267.34198 544.3398, 0.030000001 0.15 0.0
310.12863 567.1431, 0.055 0.15 0.0
281.03748 608.3291, 0.055 0.17500001 0.0
237.69974 585.9402, 0.030000001 0.17500001 0.0
480.2303 527.4046, 0.120000005 0.09 0.0
515.3108 548.5589, 0.14500001 0.09 0.0
490.0548 586.725, 0.14500001 0.115 0.0
454.25565 566.27924, 0.120000005 0.115 0.0
354.02084 521.897, 0.060000002 0.120000005 0.0
394.05356 544.51843, 0.085 0.120000005 0.0
366.2325 584.6574, 0.085 0.14500001 0.0
325.25644 562.63086, 0.060000002 0.14500001 0.0
212.68349 514.75323, 0.0 0.15 0.0
257.63947 539.2665, 0.025 0.15 0.0
227.91368 581.0459, 0.025 0.17500001 0.0
182.29932 557.2468, 0.0 0.17500001 0.0
435.45078 500.9256, 0.09 0.09 0.0
472.317 523.016, 0.115 0.09 0.0
445.87616 561.8343, 0.115 0.115 0.0
408.32877 540.3119, 0.09 0.115 0.0
303.07693 493.67947, 0.030000001 0.120000005 0.0
344.87546 517.2577, 0.055 0.120000005 0.0
316.05252 557.9617, 0.055 0.14500001 0.0
273.531 534.9699, 0.030000001 0.14500001 0.0
510.70276 481.37762, 0.120000005 0.060000002 0.0
545.1397 503.11325, 0.14500001 0.060000002 0.0
520.41376 540.2954, 0.14500001 0.085 0.0
485.46368 519.1231, 0.120000005 0.085 0.0
388.03052 472.97684, 0.060000002 0.09 0.0
427.05884 496.32004, 0.085 0.09 0.0
399.6731 535.7079, 0.085 0.115 0.0
359.78003 513.06665, 0.060000002 0.115 0.0
249.34465 463.3794, 0.0 0.120000005 0.0
293.58997 488.50183, 0.025 0.120000005 0.0
263.90222 529.89526, 0.025 0.14500001 0.0
219.18344 505.38168, 0.0 0.14500001 0.0
467.17 453.74954, 0.09 0.060000002 0.0
503.13696 476.65228, 0.115 0.060000002 0.0
477.5301 514.5762, 0.115 0.085 0.0
440.89374 492.4014, 0.09 0.085 0.0
338.35388 443.80325, 0.030000001 0.09 0.0
379.36285 468.12146, 0.055 0.09 0.0
350.80023 508.26782, 0.055 0.115 0.0
309.19254 484.5955, 0.030000001 0.115 0.0
540.63446 436.30273, 0.120000005 0.030000001 0.0
574.1789 458.58365, 0.14500001 0.030000001 0.0
549.92377 495.0595, 0.14500001 0.055 0.0
515.9959 473.2153, 0.120000005 0.055 0.0
421.19083 425.25046, 0.060000002 0.060000002 0.0
459.12726 449.17786, 0.085 0.060000002 0.0
432.55502 487.60992, 0.085 0.085 0.0
393.7453 464.35104, 0.060000002 0.085 0.0
498.16376 407.91776, 0.09 0.030000001 0.0
533.1335 431.4679, 0.115 0.030000001 0.0
508.26926 468.47736, 0.115 0.055 0.0
472.48694 445.57684, 0.09 0.055 0.0
372.89377 395.0942, 0.030000001 0.060000002 0.0
412.77274 420.1395, 0.055 0.060000002 0.0
385.09076 459.4215, 0.055 0.085 0.0
