1247.1783 277.6095, 0.120000005 0.09 0.0
1214.1082 315.03915, 0.14500001 0.09 0.0
1170.6133 288.912, 0.14500001 0.115 0.0
1201.7603 251.59413, 0.120000005 0.115 0.0
1191.995 246.23651, 0.120000005 0.120000005 0.0
1161.2888 283.52747, 0.14500001 0.120000005 0.0
1119.9265 258.47055, 0.14500001 0.14500001 0.0
1148.856 220.95235, 0.120000005 0.14500001 0.0
1139.4675 215.67404, 0.120000005 0.15 0.0
1110.7993 253.17726, 0.14500001 0.15 0.0
1070.9515 229.17287, 0.14500001 0.17500001 0.0
1098.1561 191.65831, 0.120000005 0.17500001 0.0
1089.1901 186.60587, 0.120000005 0.18 0.0
1062.2405 224.13602, 0.14500001 0.18 0.0
1023.7456 201.13103, 0.14500001 0.20500001 0.0
1049.5123 163.56163, 0.120000005 0.20500001 0.0
1123.6521 138.24052, 0.09 0.18 0.0
1094.8903 178.02055, 0.115 0.18 0.0
1054.9584 154.79344, 0.115 0.20500001 0.0
1082.1285 115.07945, 0.09 0.20500001 0.0
1216.4576 114.89841, 0.060000002 0.15 0.0
1183.1665 158.06697, 0.085 0.15 0.0
1139.2059 134.09814, 0.085 0.17500001 0.0
1170.5995 91.0993, 0.060000002 0.17500001 0.0
1160.688 86.15594, 0.060000002 0.18 0.0
1129.6719 129.145, 0.085 0.18 0.0
1087.8088 106.05287, 0.085 0.20500001 0.0
1116.8921 63.30721, 0.060000002 0.20500001 0.0
1231.9419 197.41264, 0.09 0.120000005 0.0
1198.865 237.44083, 0.115 0.120000005 0.0
1155.2507 212.44498, 0.115 0.14500001 0.0
1186.3904 172.42046, 0.09 0.14500001 0.0
1176.4658 167.22888, 0.09 0.15 0.0
1145.6946 207.19675, 0.115 0.15 0.0
1103.9819 183.0713, 0.115 0.17500001 0.0
1132.9408 143.18329, 0.09 0.17500001 0.0
1274.7936 145.03394, 0.060000002 0.120000005 0.0
1239.2101 188.26929, 0.085 0.120000005 0.0
1193.1741 163.28906, 0.085 0.14500001 0.0
1226.7681 120.12292, 0.060000002 0.14500001 0.0
1258.8838 59.264973, 0.030000001 0.15 0.0
1223.6747 105.076195, 0.055 0.15 0.0
1177.3993 81.31739, 0.055 0.17500001 0.0
1210.7537 35.648506, 0.030000001 0.17500001 0.0
1200.4242 30.750746, 0.030000001 0.18 0.0
1167.3608 76.4225, 0.055 0.18 0.0
1123.2288 53.623146, 0.055 0.20500001 0.0
1154.2157 8.249579, 0.030000001 0.20500001 0.0
