781.9989 655.45557, 0.030000001 0.0 0.0
796.27325 697.88165, 0.055 0.0 0.0
757.10297 710.70087, 0.055 0.025 0.0
743.4078 667.70233, 0.030000001 0.025 0.0
623.6605 647.83167, 0.0 0.09 0.0
635.463 690.7761, 0.025 0.09 0.0
594.94415 703.9201, 0.025 0.115 0.0
583.6721 660.49194, 0.0 0.115 0.0
671.5795 633.1273, 0.0 0.060000002 0.0
684.10126 675.56433, 0.025 0.060000002 0.0
644.30994 688.34814, 0.025 0.085 0.0
632.44635 645.5255, 0.0 0.085 0.0
718.6822 618.74225, 0.0 0.030000001 0.0
732.0457 660.4982, 0.025 0.030000001 0.0
692.9355 673.08154, 0.025 0.055 0.0
680.2675 630.71265, 0.0 0.055 0.0
765.45087 604.7313, 0.0 0.0 0.0
779.35565 645.9178, 0.025 0.0 0.0
740.6098 658.1752, 0.025 0.025 0.0
727.3186 616.42114, 0.0 0.025 0.0
