882.75525 666.4233, 0.060000002 0.18 0.0
875.71436 713.42505, 0.085 0.18 0.0
831.0788 700.05804, 0.085 0.20500001 0.0
838.1604 654.29803, 0.060000002 0.20500001 0.0
1071.5118 652.7968, 0.030000001 0.09 0.0
1065.0056 702.90094, 0.055 0.09 0.0
1012.51447 689.3246, 0.055 0.115 0.0
1019.0688 640.6521, 0.030000001 0.115 0.0
1008.12836 638.24475, 0.030000001 0.120000005 0.0
1001.3412 686.7642, 0.055 0.120000005 0.0
951.7072 673.7481, 0.055 0.14500001 0.0
958.3381 626.58624, 0.030000001 0.14500001 0.0
947.9225 624.2537, 0.030000001 0.15 0.0
941.12537 671.3774, 0.055 0.15 0.0
894.186 658.74567, 0.055 0.17500001 0.0
900.84174 612.9089, 0.030000001 0.17500001 0.0
1216.9159 620.8898, 0.0 0.030000001 0.0
1211.5962 673.421, 0.025 0.030000001 0.0
1152.6011 659.81, 0.025 0.055 0.0
1158.0371 608.75104, 0.0 0.055 0.0
891.0013 610.6465, 0.030000001 0.18 0.0
884.20734 656.4503, 0.055 0.18 0.0
839.5623 644.3092, 0.055 0.20500001 0.0
846.5896 599.81824, 0.030000001 0.20500001 0.0
1145.7004 606.1569, 0.0 0.060000002 0.0
1140.0106 657.1682, 0.025 0.060000002 0.0
1084.499 644.3213, 0.025 0.085 0.0
1090.6737 594.81146, 0.0 0.085 0.0
1079.109 592.61414, 0.0 0.09 0.0
1072.7344 641.9158, 0.025 0.09 0.0
1020.4626 630.02496, 0.025 0.115 0.0
1026.931 581.8316, 0.0 0.115 0.0
1015.976 579.7195, 0.0 0.120000005 0.0
1009.4143 627.6542, 0.025 0.120000005 0.0
959.8002 616.3101, 0.025 0.14500001 0.0
966.47833 569.3537, 0.0 0.14500001 0.0
956.1086 567.46173, 0.0 0.15 0.0
949.4051 614.0591, 0.025 0.15 0.0
902.30914 602.84985, 0.025 0.17500001 0.0
909.0932 557.3341, 0.0 0.17500001 0.0
899.06506 555.44257, 0.0 0.18 0.0
892.3425 600.74786, 0.025 0.18 0.0
847.835 590.0845, 0.025 0.20500001 0.0
854.70917 546.0303, 0.0 0.20500001 0.0
