940.147 124.32959, 0.120000005 0.0 0.0
892.3575 139.66313, 0.14500001 0.0 0.0
878.6283 96.40618, 0.14500001 0.025 0.0
926.8701 79.91323, 0.120000005 0.025 0.0
1001.21674 105.35386, 0.09 0.0 0.0
950.8836 121.25001, 0.115 0.0 0.0
937.8268 76.37741, 0.115 0.025 0.0
988.68427 59.263744, 0.09 0.025 0.0
1065.3733 85.86135, 0.060000002 0.0 0.0
1012.3916 102.03368, 0.085 0.0 0.0
999.9803 55.68934, 0.085 0.025 0.0
1053.787 37.56508, 0.060000002 0.025 0.0
924.2469 69.51306, 0.120000005 0.030000001 0.0
875.7175 86.50944, 0.14500001 0.030000001 0.0
861.1747 40.852886, 0.14500001 0.055 0.0
910.17883 22.691658, 0.120000005 0.055 0.0
1133.018 64.42619, 0.030000001 0.0 0.0
1076.869 81.99204, 0.055 0.0 0.0
1065.8379 33.737846, 0.055 0.025 0.0
1122.9043 14.457538, 0.030000001 0.025 0.0
