575.7084 147.78513, 0.120000005 0.18 0.0
607.0338 177.34546, 0.14500001 0.18 0.0
576.0153 206.27342, 0.14500001 0.20500001 0.0
544.4343 177.59781, 0.120000005 0.20500001 0.0
615.3822 109.691605, 0.120000005 0.15 0.0
646.4214 140.7285, 0.14500001 0.15 0.0
614.03687 170.90686, 0.14500001 0.17500001 0.0
582.621 141.00226, 0.120000005 0.17500001 0.0
535.38995 109.48184, 0.09 0.18 0.0
568.71814 141.18582, 0.115 0.18 0.0
537.32086 171.2091, 0.115 0.20500001 0.0
503.796 140.82486, 0.09 0.20500001 0.0
656.9957 69.77483, 0.120000005 0.120000005 0.0
687.5463 102.425285, 0.14500001 0.120000005 0.0
653.6728 134.04285, 0.14500001 0.14500001 0.0
622.67993 102.5617, 0.120000005 0.14500001 0.0
575.56104 69.383026, 0.09 0.15 0.0
608.4706 102.57189, 0.115 0.15 0.0
575.701 134.33525, 0.115 0.17500001 0.0
542.4828 102.4161, 0.09 0.17500001 0.0
492.224 68.256, 0.060000002 0.18 0.0
528.0379 102.361855, 0.085 0.18 0.0
496.39227 134.08907, 0.085 0.20500001 0.0
460.37415 101.48625, 0.060000002 0.20500001 0.0
700.46606 27.492735, 0.120000005 0.09 0.0
730.6484 62.011307, 0.14500001 0.09 0.0
695.15125 95.4443, 0.14500001 0.115 0.0
664.6674 62.428497, 0.120000005 0.115 0.0
617.5013 27.079002, 0.09 0.120000005 0.0
650.0891 62.167168, 0.115 0.120000005 0.0
615.7544 95.603836, 0.115 0.14500001 0.0
582.8744 61.858276, 0.09 0.14500001 0.0
532.7077 25.925558, 0.060000002 0.15 0.0
568.18164 61.822006, 0.085 0.15 0.0
535.1522 95.3016, 0.085 0.17500001 0.0
499.3288 60.68793, 0.060000002 0.17500001 0.0
446.61755 24.799194, 0.030000001 0.18 0.0
484.33716 60.718475, 0.055 0.18 0.0
452.37674 94.15108, 0.055 0.20500001 0.0
414.5186 59.702408, 0.030000001 0.20500001 0.0
