936.2353 688.3678, 0.120000005 0.09 0.0
888.6319 690.8242, 0.14500001 0.09 0.0
880.6976 642.769, 0.14500001 0.115 0.0
927.48346 639.5387, 0.120000005 0.115 0.0
996.28357 684.88947, 0.09 0.09 0.0
946.6915 687.7284, 0.115 0.09 0.0
937.95575 638.8819, 0.115 0.115 0.0
986.6828 635.2774, 0.09 0.115 0.0
1059.2466 681.1987, 0.060000002 0.09 0.0
1007.26294 684.3873, 0.085 0.09 0.0
997.7281 634.529, 0.085 0.115 0.0
1048.7054 630.5476, 0.060000002 0.115 0.0
1125.0574 677.44904, 0.030000001 0.09 0.0
1070.6619 680.53864, 0.055 0.09 0.0
1060.0941 629.6465, 0.055 0.115 0.0
1113.2432 625.4621, 0.030000001 0.115 0.0
925.7228 629.02203, 0.120000005 0.120000005 0.0
879.18567 632.3956, 0.14500001 0.120000005 0.0
871.3531 585.7251, 0.14500001 0.14500001 0.0
917.2753 581.5985, 0.120000005 0.14500001 0.0
985.05756 624.4061, 0.09 0.120000005 0.0
936.321 628.3172, 0.115 0.120000005 0.0
927.4842 580.76575, 0.115 0.14500001 0.0
975.6426 576.3102, 0.09 0.14500001 0.0
1046.7339 619.4414, 0.060000002 0.120000005 0.0
995.6931 623.6239, 0.085 0.120000005 0.0
986.2511 575.4056, 0.085 0.14500001 0.0
1036.5619 570.4948, 0.060000002 0.14500001 0.0
1110.9283 614.24945, 0.030000001 0.120000005 0.0
1057.8293 618.512, 0.055 0.120000005 0.0
1047.7285 569.39825, 0.055 0.14500001 0.0
1099.6262 564.1572, 0.030000001 0.14500001 0.0
1178.5828 608.6662, 0.0 0.120000005 0.0
1122.7194 613.33075, 0.025 0.120000005 0.0
1111.1323 563.1314, 0.025 0.14500001 0.0
1165.9612 557.52234, 0.0 0.14500001 0.0
915.6331 571.26953, 0.120000005 0.15 0.0
869.6603 575.47784, 0.14500001 0.15 0.0
862.18585 530.5502, 0.14500001 0.17500001 0.0
907.21674 525.416, 0.120000005 0.17500001 0.0
973.7459 565.7084, 0.09 0.15 0.0
925.79205 570.4157, 0.115 0.15 0.0
917.36115 524.40656, 0.115 0.17500001 0.0
964.4114 518.9912, 0.09 0.17500001 0.0
1034.599 559.6532, 0.060000002 0.15 0.0
984.3588 564.6462, 0.085 0.15 0.0
974.95245 517.8791, 0.085 0.17500001 0.0
1024.4938 512.1872, 0.060000002 0.17500001 0.0
1097.4152 553.23816, 0.030000001 0.15 0.0
1045.6234 558.5494, 0.055 0.15 0.0
1035.4799 510.9345, 0.055 0.17500001 0.0
1086.3563 504.6517, 0.030000001 0.17500001 0.0
1163.4686 546.33484, 0.0 0.15 0.0
1108.9205 552.0742, 0.025 0.15 0.0
1097.773 503.46454, 0.025 0.17500001 0.0
1151.408 496.80072, 0.0 0.17500001 0.0
905.57324 515.428, 0.120000005 0.18 0.0
860.6143 520.63043, 0.14500001 0.18 0.0
853.1089 477.29947, 0.14500001 0.20500001 0.0
897.44965 471.3263, 0.120000005 0.20500001 0.0
962.80084 508.6858, 0.09 0.18 0.0
915.67114 514.3904, 0.115 0.18 0.0
907.36066 469.8951, 0.115 0.20500001 0.0
953.7387 463.6646, 0.09 0.20500001 0.0
1022.6955 501.6899, 0.060000002 0.18 0.0
973.2016 507.6387, 0.085 0.18 0.0
963.99945 462.44702, 0.085 0.20500001 0.0
1012.70404 455.64856, 0.060000002 0.20500001 0.0
1084.274 494.15176, 0.030000001 0.18 0.0
1033.495 500.4822, 0.055 0.18 0.0
1023.5495 454.34357, 0.055 0.20500001 0.0
1073.558 447.33673, 0.030000001 0.20500001 0.0
1148.9878 486.00534, 0.0 0.18 0.0
1095.5912 492.7735, 0.025 0.18 0.0
1084.6908 445.7667, 0.025 0.20500001 0.0
1136.902 438.35535, 0.0 0.20500001 0.0
1194.2498 673.4203, 0.0 0.09 0.0
1137.1776 676.7599, 0.025 0.09 0.0
1125.1882 624.64056, 0.025 0.115 0.0
1181.1381 620.2391, 0.0 0.115 0.0
