653.3986 450.31033, 0.120000005 0.18 0.0
670.07104 492.552, 0.14500001 0.18 0.0
627.83167 506.73505, 0.14500001 0.20500001 0.0
611.22174 464.7471, 0.120000005 0.20500001 0.0
706.0987 432.50595, 0.120000005 0.15 0.0
722.9203 475.4579, 0.14500001 0.15 0.0
679.60675 489.70624, 0.14500001 0.17500001 0.0
662.83044 447.4412, 0.120000005 0.17500001 0.0
760.38794 414.3538, 0.120000005 0.120000005 0.0
777.3135 457.74734, 0.14500001 0.120000005 0.0
732.6451 472.54648, 0.14500001 0.14500001 0.0
715.8252 429.48053, 0.120000005 0.14500001 0.0
633.23175 398.18274, 0.09 0.18 0.0
649.89886 440.77072, 0.115 0.18 0.0
607.9083 455.35794, 0.115 0.20500001 0.0
591.1113 413.24402, 0.09 0.20500001 0.0
816.40314 395.3098, 0.120000005 0.09 0.0
833.27734 439.61496, 0.14500001 0.09 0.0
787.2631 454.90714, 0.14500001 0.115 0.0
770.34814 411.22324, 0.120000005 0.115 0.0
685.97534 379.56244, 0.09 0.15 0.0
702.8051 422.89682, 0.115 0.15 0.0
659.46844 437.7774, 0.115 0.17500001 0.0
642.6571 395.1798, 0.09 0.17500001 0.0
874.159 375.8817, 0.120000005 0.060000002 0.0
891.1932 420.9229, 0.14500001 0.060000002 0.0
843.5204 436.6387, 0.14500001 0.085 0.0
826.5399 392.10733, 0.120000005 0.085 0.0
740.3344 360.43863, 0.09 0.120000005 0.0
757.1687 404.33682, 0.115 0.120000005 0.0
712.5163 419.8428, 0.115 0.14500001 0.0
695.72534 376.36288, 0.09 0.14500001 0.0
933.8856 355.974, 0.120000005 0.030000001 0.0
951.02496 401.82294, 0.14500001 0.030000001 0.0
901.717 417.80182, 0.14500001 0.055 0.0
884.6867 372.58795, 0.120000005 0.055 0.0
612.6732 345.2081, 0.060000002 0.18 0.0
629.7556 388.59256, 0.085 0.18 0.0
587.65375 403.62808, 0.085 0.20500001 0.0
570.609 360.82495, 0.060000002 0.20500001 0.0
796.144 340.63974, 0.09 0.09 0.0
813.10345 385.41202, 0.115 0.09 0.0
767.08856 401.3591, 0.115 0.115 0.0
750.2397 357.1753, 0.09 0.115 0.0
995.7643 335.25284, 0.120000005 0.0 0.0
1012.68915 381.98596, 0.14500001 0.0 0.0
961.9451 398.5291, 0.14500001 0.025 0.0
944.9298 352.39325, 0.120000005 0.025 0.0
665.53186 325.77124, 0.060000002 0.15 0.0
682.565 369.85968, 0.085 0.15 0.0
639.42865 385.43478, 0.085 0.17500001 0.0
622.3518 341.90826, 0.060000002 0.17500001 0.0
853.79346 320.22772, 0.09 0.060000002 0.0
870.7215 365.7315, 0.115 0.060000002 0.0
823.314 382.21017, 0.115 0.085 0.0
806.41925 337.36728, 0.09 0.085 0.0
719.7795 305.78506, 0.060000002 0.120000005 0.0
736.876 350.52936, 0.085 0.120000005 0.0
692.3885 366.67517, 0.085 0.14500001 0.0
675.3259 322.35306, 0.060000002 0.14500001 0.0
913.63745 299.11267, 0.09 0.030000001 0.0
930.59595 345.654, 0.115 0.030000001 0.0
881.37787 362.48282, 0.115 0.055 0.0
864.4167 316.6967, 0.09 0.055 0.0
592.3261 292.08282, 0.030000001 0.18 0.0
609.2945 335.4446, 0.055 0.18 0.0
567.3477 351.23865, 0.055 0.20500001 0.0
550.3906 308.34564, 0.030000001 0.20500001 0.0
775.7611 285.2964, 0.060000002 0.09 0.0
792.7635 330.61414, 0.085 0.09 0.0
746.7808 347.2677, 0.085 0.115 0.0
729.7733 302.4049, 0.060000002 0.115 0.0
975.4733 277.4001, 0.09 0.0 0.0
992.3584 324.7817, 0.115 0.0 0.0
941.6249 342.08624, 0.115 0.025 0.0
924.6117 295.52026, 0.09 0.025 0.0
645.02405 271.73706, 0.030000001 0.15 0.0
662.1303 315.92004, 0.055 0.15 0.0
618.82074 332.124, 0.055 0.17500001 0.0
601.841 288.56033, 0.030000001 0.17500001 0.0
833.4625 263.97586, 0.060000002 0.060000002 0.0
850.463 310.06583, 0.085 0.060000002 0.0
802.992 327.3508, 0.085 0.085 0.0
785.89606 281.68246, 0.060000002 0.085 0.0
699.36816 250.84866, 0.030000001 0.120000005 0.0
716.38727 295.8419, 0.055 0.120000005 0.0
671.8525 312.5589, 0.055 0.14500001 0.0
654.7731 268.2485, 0.030000001 0.14500001 0.0
893.27386 241.79848, 0.060000002 0.030000001 0.0
910.2604 288.77924, 0.085 0.030000001 0.0
861.02185 306.5622, 0.085 0.055 0.0
843.9787 260.3577, 0.060000002 0.055 0.0
571.5383 237.9224, 0.0 0.18 0.0
588.8939 282.16724, 0.025 0.18 0.0
546.8683 298.65823, 0.025 0.20500001 0.0
529.5933 254.83383, 0.0 0.20500001 0.0
755.38153 229.37418, 0.030000001 0.09 0.0
772.384 275.11508, 0.055 0.09 0.0
726.352 292.3715, 0.055 0.115 0.0
709.3211 247.3146, 0.030000001 0.115 0.0
955.2566 218.94783, 0.060000002 0.0 0.0
972.0325 266.82913, 0.085 0.0 0.0
921.33496 285.20767, 0.085 0.025 0.0
904.1464 238.0643, 0.060000002 0.025 0.0
624.2859 216.70064, 0.0 0.15 0.0
641.62256 261.75513, 0.025 0.15 0.0
598.3696 278.69724, 0.025 0.17500001 0.0
581.1261 234.19762, 0.0 0.17500001 0.0
812.93896 207.02122, 0.030000001 0.060000002 0.0
830.0016 253.57362, 0.055 0.060000002 0.0
782.5033 271.51218, 0.055 0.085 0.0
765.5455 225.63634, 0.030000001 0.085 0.0
678.5238 194.85342, 0.0 0.120000005 0.0
695.83215 240.65733, 0.025 0.120000005 0.0
651.4853 258.23547, 0.025 0.14500001 0.0
634.1338 212.99606, 0.0 0.14500001 0.0
872.7554 183.92516, 0.030000001 0.030000001 0.0
889.7537 231.45448, 0.055 0.030000001 0.0
840.55945 249.95787, 0.055 0.055 0.0
823.63226 203.22362, 0.030000001 0.055 0.0
734.55585 172.45891, 0.0 0.09 0.0
751.8592 219.01271, 0.025 0.09 0.0
705.8116 237.19765, 0.025 0.115 0.0
688.5842 191.25412, 0.0 0.115 0.0
934.45874 160.15811, 0.030000001 0.0 0.0
951.4672 208.5447, 0.055 0.0 0.0
900.6875 227.49623, 0.055 0.025 0.0
883.7334 179.96933, 0.030000001 0.025 0.0
792.42474 149.29953, 0.0 0.060000002 0.0
809.60333 196.50566, 0.025 0.060000002 0.0
762.0857 215.3794, 0.025 0.085 0.0
744.8079 168.62013, 0.0 0.085 0.0
852.1912 124.947464, 0.0 0.030000001 0.0
869.38477 173.33118, 0.025 0.030000001 0.0
820.2051 192.71776, 0.025 0.055 0.0
802.99915 145.2065, 0.0 0.055 0.0
913.75806 100.298004, 0.0 0.0 0.0
931.08875 149.30981, 0.025 0.0 0.0
880.30286 169.28561, 0.025 0.025 0.0
863.1132 120.80577, 0.0 0.025 0.0
