893.1028 641.4327, 0.120000005 0.120000005 0.0
918.3466 684.494, 0.14500001 0.120000005 0.0
877.386 706.43195, 0.14500001 0.14500001 0.0
852.5433 663.0972, 0.120000005 0.14500001 0.0
766.56 641.5847, 0.09 0.18 0.0
789.7046 684.0916, 0.115 0.18 0.0
750.1298 705.60626, 0.115 0.20500001 0.0
727.59546 662.8576, 0.09 0.20500001 0.0
942.739 614.84094, 0.120000005 0.09 0.0
968.6115 657.63873, 0.14500001 0.09 0.0
927.36346 679.8561, 0.14500001 0.115 0.0
901.8782 636.87213, 0.120000005 0.115 0.0
814.50586 615.7555, 0.09 0.15 0.0
838.6012 657.98627, 0.115 0.15 0.0
798.53046 679.58234, 0.115 0.17500001 0.0
775.26825 637.18445, 0.09 0.17500001 0.0
739.24207 590.8355, 0.060000002 0.18 0.0
761.8084 632.2458, 0.085 0.18 0.0
723.0989 653.5133, 0.085 0.20500001 0.0
701.01794 611.9552, 0.060000002 0.20500001 0.0
992.6143 588.02466, 0.120000005 0.060000002 0.0
1019.2182 630.5443, 0.14500001 0.060000002 0.0
977.7822 653.04974, 0.14500001 0.085 0.0
951.6678 610.28674, 0.120000005 0.085 0.0
862.9638 589.67993, 0.09 0.120000005 0.0
887.6885 631.74475, 0.115 0.120000005 0.0
847.49927 653.52295, 0.115 0.14500001 0.0
823.32166 611.28076, 0.09 0.14500001 0.0
786.29553 565.3209, 0.060000002 0.15 0.0
809.6043 606.5025, 0.085 0.15 0.0
770.52515 627.80023, 0.085 0.17500001 0.0
747.7381 586.47504, 0.060000002 0.17500001 0.0
911.954 563.6021, 0.09 0.09 0.0
937.4349 605.38666, 0.115 0.09 0.0
896.7192 627.25885, 0.115 0.115 0.0
871.7821 585.33875, 0.09 0.115 0.0
1042.8032 561.10706, 0.120000005 0.030000001 0.0
1070.1425 603.3393, 0.14500001 0.030000001 0.0
1028.3195 625.8162, 0.14500001 0.055 0.0
1001.7116 583.412, 0.120000005 0.055 0.0
713.2356 542.4364, 0.030000001 0.18 0.0
734.75104 581.82654, 0.055 0.18 0.0
696.76953 602.95905, 0.055 0.20500001 0.0
675.84125 563.3895, 0.030000001 0.20500001 0.0
833.66534 539.6845, 0.060000002 0.120000005 0.0
857.90265 580.5039, 0.085 0.120000005 0.0
818.42224 601.96796, 0.085 0.14500001 0.0
794.77405 560.86633, 0.060000002 0.14500001 0.0
961.11896 537.26294, 0.09 0.060000002 0.0
987.1899 578.695, 0.115 0.060000002 0.0
946.41254 600.81134, 0.115 0.085 0.0
920.7684 559.11884, 0.09 0.085 0.0
1093.215 533.7574, 0.120000005 0.0 0.0
1121.1321 575.6786, 0.14500001 0.0 0.0
1079.1293 598.52423, 0.14500001 0.025 0.0
1051.9447 556.39923, 0.120000005 0.025 0.0
759.183 516.9858, 0.030000001 0.15 0.0
781.55334 556.4448, 0.055 0.15 0.0
743.30975 577.46533, 0.055 0.17500001 0.0
