636.36523 671.77637, 0.120000005 0.0 0.0
600.90967 691.2184, 0.14500001 0.0 0.0
581.90845 655.58276, 0.14500001 0.025 0.0
617.4793 636.13214, 0.120000005 0.025 0.0
679.66205 648.49994, 0.09 0.0 0.0
644.15985 667.78217, 0.115 0.0 0.0
625.32404 632.28906, 0.115 0.025 0.0
660.6793 612.9234, 0.09 0.025 0.0
613.5611 628.2683, 0.120000005 0.030000001 0.0
577.95874 647.6058, 0.14500001 0.030000001 0.0
559.11145 612.1776, 0.14500001 0.055 0.0
594.6071 592.76056, 0.120000005 0.055 0.0
723.05194 625.6849, 0.060000002 0.0 0.0
687.454 644.5684, 0.085 0.0 0.0
668.52673 609.12573, 0.085 0.025 0.0
703.87836 589.90234, 0.060000002 0.025 0.0
657.0088 604.98004, 0.09 0.030000001 0.0
621.4331 624.2986, 0.115 0.030000001 0.0
602.4739 588.7945, 0.115 0.055 0.0
637.9916 569.68536, 0.09 0.055 0.0
765.8802 602.529, 0.030000001 0.0 0.0
730.5682 621.48346, 0.055 0.0 0.0
711.6227 586.142, 0.055 0.025 0.0
746.84106 566.99475, 0.030000001 0.025 0.0
590.8001 584.77966, 0.120000005 0.060000002 0.0
555.28546 604.1471, 0.14500001 0.060000002 0.0
536.319 568.6781, 0.14500001 0.085 0.0
571.83777 549.48895, 0.120000005 0.085 0.0
700.21783 581.9447, 0.060000002 0.030000001 0.0
664.6643 601.22845, 0.085 0.030000001 0.0
645.7282 565.87744, 0.085 0.055 0.0
681.212 546.7121, 0.060000002 0.055 0.0
634.2919 561.77655, 0.09 0.060000002 0.0
598.65265 581.0415, 0.115 0.060000002 0.0
579.6821 545.6214, 0.115 0.085 0.0
615.30023 526.6132, 0.09 0.085 0.0
743.2415 559.1946, 0.030000001 0.030000001 0.0
707.8979 578.2304, 0.055 0.030000001 0.0
688.92596 542.9896, 0.055 0.055 0.0
724.29346 523.9436, 0.030000001 0.055 0.0
568.1474 541.59485, 0.120000005 0.09 0.0
532.4158 560.7993, 0.14500001 0.09 0.0
513.43665 525.4465, 0.14500001 0.115 0.0
548.9958 506.3882, 0.120000005 0.115 0.0
677.46454 538.84094, 0.060000002 0.060000002 0.0
642.08936 558.0491, 0.085 0.060000002 0.0
622.9427 522.7958, 0.085 0.085 0.0
658.5492 503.7503, 0.060000002 0.085 0.0
786.3969 536.3601, 0.0 0.030000001 0.0
750.9459 555.4028, 0.025 0.030000001 0.0
732.0152 520.1313, 0.025 0.055 0.0
767.38434 500.97968, 0.0 0.055 0.0
611.41187 518.8428, 0.09 0.09 0.0
575.85956 537.78546, 0.115 0.09 0.0
556.90686 502.47946, 0.115 0.115 0.0
592.49066 483.5531, 0.09 0.115 0.0
720.5107 515.9831, 0.030000001 0.060000002 0.0
685.31647 535.03186, 0.055 0.060000002 0.0
666.33954 499.7621, 0.055 0.085 0.0
701.5942 480.89743, 0.030000001 0.085 0.0
545.26733 498.469, 0.120000005 0.120000005 0.0
509.58096 517.55396, 0.14500001 0.120000005 0.0
490.58234 482.34344, 0.14500001 0.14500001 0.0
526.24365 463.13, 0.120000005 0.14500001 0.0
654.7358 495.8038, 0.060000002 0.09 0.0
619.2863 514.9258, 0.085 0.09 0.0
600.2747 479.64755, 0.085 0.115 0.0
635.7886 460.6051, 0.060000002 0.115 0.0
763.65125 493.265, 0.0 0.060000002 0.0
728.38416 512.2444, 0.025 0.060000002 0.0
709.5244 477.18048, 0.025 0.085 0.0
744.72455 457.9431, 0.0 0.085 0.0
588.5904 475.64325, 0.09 0.120000005 0.0
553.15 494.57812, 0.115 0.120000005 0.0
534.1174 459.40668, 0.115 0.14500001 0.0
569.5724 440.4008, 0.09 0.14500001 0.0
697.92975 473.03662, 0.030000001 0.09 0.0
662.6039 492.05673, 0.055 0.09 0.0
643.6369 456.73965, 0.055 0.115 0.0
678.888 437.8213, 0.030000001 0.115 0.0
522.4408 455.2358, 0.120000005 0.15 0.0
486.69476 474.28534, 0.14500001 0.15 0.0
467.60074 438.9181, 0.14500001 0.17500001 0.0
503.26337 419.82098, 0.120000005 0.17500001 0.0
632.00793 452.69583, 0.060000002 0.120000005 0.0
596.4405 471.75717, 0.085 0.120000005 0.0
577.4428 436.54208, 0.085 0.14500001 0.0
613.1496 417.5454, 0.060000002 0.14500001 0.0
741.1786 450.1831, 0.0 0.09 0.0
705.7896 469.34476, 0.025 0.09 0.0
686.7969 434.09528, 0.025 0.115 0.0
722.2274 414.91183, 0.0 0.115 0.0
565.72784 432.4663, 0.09 0.15 0.0
530.28436 451.34045, 0.115 0.15 0.0
511.16232 416.04208, 0.115 0.17500001 0.0
546.6353 397.22748, 0.09 0.17500001 0.0
675.26556 429.96613, 0.030000001 0.120000005 0.0
639.838 448.98154, 0.055 0.120000005 0.0
620.9175 413.70706, 0.055 0.14500001 0.0
656.284 394.81113, 0.030000001 0.14500001 0.0
499.4638 411.79993, 0.120000005 0.18 0.0
463.67975 430.8825, 0.14500001 0.18 0.0
444.49393 395.52444, 0.14500001 0.20500001 0.0
480.32553 376.49384, 0.120000005 0.20500001 0.0
609.2489 409.5101, 0.060000002 0.15 0.0
573.53284 428.51065, 0.085 0.15 0.0
554.5322 393.32697, 0.085 0.17500001 0.0
590.23846 374.22662, 0.060000002 0.17500001 0.0
718.469 407.176, 0.0 0.120000005 0.0
683.11505 426.23743, 0.025 0.120000005 0.0
664.15063 390.85745, 0.025 0.14500001 0.0
699.6033 371.98734, 0.0 0.14500001 0.0
542.82404 389.06146, 0.09 0.18 0.0
507.34586 407.95798, 0.115 0.18 0.0
488.2802 372.57056, 0.115 0.20500001 0.0
523.7161 353.62262, 0.09 0.20500001 0.0
652.4148 386.83908, 0.030000001 0.15 0.0
616.9937 405.6803, 0.055 0.15 0.0
598.1333 370.387, 0.055 0.17500001 0.0
633.48016 351.62167, 0.030000001 0.17500001 0.0
586.42676 366.23276, 0.060000002 0.18 0.0
550.6988 385.25198, 0.085 0.18 0.0
531.5624 349.84256, 0.085 0.20500001 0.0
567.432 330.77713, 0.060000002 0.20500001 0.0
695.78064 363.87985, 0.0 0.15 0.0
660.3498 382.9678, 0.025 0.15 0.0
641.4106 347.58453, 0.025 0.17500001 0.0
676.89703 328.58246, 0.0 0.17500001 0.0
629.5327 343.53897, 0.030000001 0.18 0.0
594.2697 362.3286, 0.055 0.18 0.0
575.2579 326.91537, 0.055 0.20500001 0.0
610.57404 308.34372, 0.030000001 0.20500001 0.0
673.1057 320.61707, 0.0 0.18 0.0
637.4655 339.5523, 0.025 0.18 0.0
618.51526 304.29214, 0.025 0.20500001 0.0
654.1672 285.4961, 0.0 0.20500001 0.0
809.20483 579.6152, 0.0 0.0 0.0
773.6941 598.6566, 0.025 0.0 0.0
754.74994 563.3387, 0.025 0.025 0.0
790.18585 544.215, 0.0 0.025 0.0
