1180.7585 383.6241, 0.120000005 0.0 0.0
1138.757 421.7132, 0.14500001 0.0 0.0
1094.8015 386.0174, 0.14500001 0.025 0.0
1135.3744 347.47498, 0.120000005 0.025 0.0
1125.6632 339.88498, 0.120000005 0.030000001 0.0
1085.5164 378.43695, 0.14500001 0.030000001 0.0
1042.4957 343.80453, 0.14500001 0.055 0.0
1081.3955 304.853, 0.120000005 0.055 0.0
1234.8975 334.5923, 0.09 0.0 0.0
1189.9915 375.167, 0.115 0.0 0.0
1144.1683 338.83743, 0.115 0.025 0.0
1187.0764 297.95883, 0.09 0.025 0.0
1071.9125 297.47586, 0.120000005 0.060000002 0.0
1033.352 336.4543, 0.14500001 0.060000002 0.0
991.17145 302.81192, 0.14500001 0.085 0.0
1028.688 263.4879, 0.120000005 0.085 0.0
1019.51953 256.37064, 0.120000005 0.09 0.0
982.2441 295.7595, 0.14500001 0.09 0.0
941.3243 263.26505, 0.14500001 0.115 0.0
977.28644 223.50093, 0.120000005 0.115 0.0
968.261 216.52863, 0.120000005 0.120000005 0.0
932.5733 256.41235, 0.14500001 0.120000005 0.0
893.08203 224.84636, 0.14500001 0.14500001 0.0
927.59357 184.52614, 0.120000005 0.14500001 0.0
1173.1235 194.29874, 0.060000002 0.060000002 0.0
1129.8374 238.26376, 0.085 0.060000002 0.0
1084.6984 203.6745, 0.085 0.085 0.0
1126.1252 159.39383, 0.060000002 0.085 0.0
918.7431 177.80327, 0.120000005 0.15 0.0
884.5849 218.14249, 0.14500001 0.15 0.0
846.5205 187.59222, 0.14500001 0.17500001 0.0
879.277 147.02278, 0.120000005 0.17500001 0.0
1013.6286 165.35602, 0.09 0.120000005 0.0
976.199 207.5003, 0.115 0.120000005 0.0
934.9217 175.59692, 0.115 0.14500001 0.0
971.29663 132.96758, 0.09 0.14500001 0.0
1116.3076 152.19211, 0.060000002 0.09 0.0
1075.0349 196.60216, 0.085 0.09 0.0
1031.0835 162.8813, 0.085 0.115 0.0
1070.661 118.44506, 0.060000002 0.115 0.0
870.7383 140.41214, 0.120000005 0.18 0.0
838.25696 181.02551, 0.14500001 0.18 0.0
801.3532 151.38618, 0.14500001 0.20500001 0.0
832.6553 110.347786, 0.120000005 0.20500001 0.0
1228.4683 137.93628, 0.030000001 0.060000002 0.0
1182.4158 184.5787, 0.055 0.060000002 0.0
1135.1844 149.58575, 0.055 0.085 0.0
1179.2235 102.79853, 0.030000001 0.085 0.0
1168.775 95.55219, 0.030000001 0.09 0.0
1125.1858 142.38214, 0.055 0.09 0.0
1079.3542 108.4263, 0.055 0.115 0.0
1121.063 61.440422, 0.030000001 0.115 0.0
912.04675 88.38859, 0.09 0.18 0.0
877.739 131.18245, 0.115 0.18 0.0
839.4248 101.14378, 0.115 0.20500001 0.0
872.4062 58.032368, 0.09 0.20500001 0.0
1007.46265 71.635895, 0.060000002 0.15 0.0
969.5799 116.69781, 0.085 0.15 0.0
928.44006 85.34057, 0.085 0.17500001 0.0
964.6732 40.225346, 0.060000002 0.17500001 0.0
955.4665 33.378265, 0.060000002 0.18 0.0
919.4312 78.7143, 0.085 0.18 0.0
879.4854 48.32602, 0.085 0.20500001 0.0
914.17737 2.8616173, 0.060000002 0.20500001 0.0
1177.0195 290.34357, 0.09 0.030000001 0.0
1134.414 331.2584, 0.115 0.030000001 0.0
1089.85 296.1028, 0.115 0.055 0.0
1130.8466 254.82216, 0.09 0.055 0.0
1121.0205 247.47382, 0.09 0.060000002 0.0
1080.4347 288.65637, 0.115 0.060000002 0.0
1036.9243 254.63086, 0.115 0.085 0.0
1076.2711 213.00694, 0.09 0.085 0.0
1231.7742 237.67628, 0.060000002 0.030000001 0.0
1186.2856 281.2554, 0.085 0.030000001 0.0
1139.7634 245.63411, 0.085 0.055 0.0
1183.3025 201.87292, 0.060000002 0.055 0.0
1066.6575 205.78566, 0.09 0.09 0.0
1027.5953 247.48145, 0.115 0.09 0.0
985.16595 214.48534, 0.115 0.115 0.0
1022.8946 172.2999, 0.09 0.115 0.0
962.1336 126.24736, 0.09 0.15 0.0
926.1196 168.77692, 0.115 0.15 0.0
886.4157 137.78899, 0.115 0.17500001 0.0
920.83105 94.95317, 0.09 0.17500001 0.0
1061.0879 111.37595, 0.060000002 0.120000005 0.0
1021.5707 155.92708, 0.085 0.120000005 0.0
978.9597 123.573875, 0.085 0.14500001 0.0
1016.9812 78.48683, 0.060000002 0.14500001 0.0
1110.9347 54.427483, 0.030000001 0.120000005 0.0
1069.5192 101.4375, 0.055 0.120000005 0.0
1025.1746 68.641525, 0.055 0.14500001 0.0
1064.7941 21.585367, 0.030000001 0.14500001 0.0
