477.62595 203.54926, 0.025 0.120000005 0.0
434.36185 196.53801, 0.025 0.14500001 0.0
439.3885 152.84668, 0.0 0.14500001 0.0
429.54224 151.37958, 0.0 0.15 0.0
424.5262 195.08815, 0.025 0.15 0.0
379.59213 187.74403, 0.025 0.17500001 0.0
384.56128 143.26437, 0.0 0.17500001 0.0
374.38745 141.64534, 0.0 0.18 0.0
369.5555 186.30626, 0.025 0.18 0.0
323.27963 178.6665, 0.025 0.20500001 0.0
327.9816 133.53778, 0.0 0.20500001 0.0
