1019.9965 542.12616, 0.0 0.1776 0.0
1096.5665 472.1188, 0.0387 0.1776 0.0
1174.0438 558.6497, 0.0387 0.2163 0.0
1094.4199 625.9608, 0.0 0.2163 0.0
1108.6835 460.69272, 0.0444 0.1776 0.0
1192.8723 383.556, 0.0831 0.1776 0.0
1274.8132 473.82214, 0.0831 0.2163 0.0
1186.7017 548.0715, 0.0444 0.2163 0.0
936.16113 447.00418, 0.0 0.13319999 0.0
1008.6054 373.98294, 0.0387 0.13319999 0.0
1085.1838 458.91058, 0.0387 0.17189999 0.0
1009.1416 529.56226, 0.0 0.17189999 0.0
1205.8569 371.24115, 0.0888 0.1776 0.0
1298.7831 285.7642, 0.1275 0.1776 0.0
1386.5256 380.3608, 0.1275 0.2163 0.0
1288.7887 462.1987, 0.0888 0.2163 0.0
1020.3823 362.0757, 0.0444 0.13319999 0.0
1100.2238 281.2019, 0.0831 0.13319999 0.0
1180.6295 369.8511, 0.0831 0.17189999 0.0
1097.2019 447.6429, 0.0444 0.17189999 0.0
852.9987 353.2884, 0.0 0.0888 0.0
921.85486 276.80457, 0.0387 0.0888 0.0
997.41516 361.01932, 0.0387 0.1275 0.0
925.3735 434.58246, 0.0 0.1275 0.0
770.89575 260.2662, 0.0 0.0444 0.0
836.0205 180.35992, 0.0387 0.0444 0.0
910.58026 264.035, 0.0387 0.0831 0.0
842.2103 340.9826, 0.0 0.0831 0.0
1112.6337 268.3667, 0.0888 0.13319999 0.0
1200.2408 178.73573, 0.1275 0.13319999 0.0
1285.9846 271.7976, 0.1275 0.17189999 0.0
1193.724 357.7717, 0.0888 0.17189999 0.0
1313.5677 272.26373, 0.13319999 0.1776 0.0
1417.2688 176.87633, 0.17189999 0.1776 0.0
1510.7164 276.18134, 0.17189999 0.2163 0.0
1402.3362 367.26724, 0.13319999 0.2163 0.0
1020.2321 166.36163, 0.0888 0.0888 0.0
1102.9128 72.53898, 0.1275 0.0888 0.0
1187.5247 164.86174, 0.1275 0.1275 0.0
1100.5812 254.94, 0.0888 0.1275 0.0
1214.1632 164.49904, 0.13319999 0.13319999 0.0
1311.4427 64.63504, 0.17189999 0.13319999 0.0
1403.3816 162.29843, 0.17189999 0.17189999 0.0
1300.5166 258.14697, 0.13319999 0.17189999 0.0
932.7577 264.62387, 0.0444 0.0888 0.0
1008.4619 180.02219, 0.0831 0.0888 0.0
1088.1744 267.87863, 0.0831 0.1275 0.0
1008.88324 349.3669, 0.0444 0.1275 0.0
689.4115 167.19806, 0.0 0.0 0.0
750.6993 84.09792, 0.0387 0.0 0.0
824.498 167.58104, 0.0387 0.0387 0.0
760.17755 248.0978, 0.0 0.0387 0.0
846.21814 167.49591, 0.0444 0.0444 0.0
917.4843 79.020996, 0.0831 0.0444 0.0
996.33234 166.52371, 0.0831 0.0831 0.0
921.3343 251.8038, 0.0444 0.0831 0.0
