1314.2789 873.79156, 0.0 0.1776 0.0
1314.132 763.037, 0.0387 0.1776 0.0
1424.6711 765.17596, 0.0387 0.2163 0.0
1424.5579 875.46704, 0.0 0.2163 0.0
1187.6246 871.95264, 0.0 0.13319999 0.0
1187.6168 761.4378, 0.0387 0.13319999 0.0
1297.5663 763.01843, 0.0387 0.17189999 0.0
1297.6959 873.64056, 0.0 0.17189999 0.0
1060.9152 870.49146, 0.0 0.0888 0.0
1061.9774 759.75525, 0.0387 0.0888 0.0
1171.4288 761.1283, 0.0387 0.1275 0.0
1171.3248 871.66876, 0.0 0.1275 0.0
934.493 869.3818, 0.0 0.0444 0.0
936.0573 758.6231, 0.0387 0.0444 0.0
1045.5236 759.6701, 0.0387 0.0831 0.0
1044.4957 870.46216, 0.0 0.0831 0.0
807.3636 868.4367, 0.0 0.0 0.0
809.3922 757.37964, 0.0387 0.0 0.0
919.4245 758.5246, 0.0387 0.0387 0.0
918.1106 869.3327, 0.0 0.0387 0.0
1314.2676 746.4389, 0.0444 0.1776 0.0
1314.3798 636.4273, 0.0831 0.1776 0.0
1424.8455 638.1888, 0.0831 0.2163 0.0
1424.6722 748.47437, 0.0444 0.2163 0.0
1187.7742 744.5719, 0.0444 0.13319999 0.0
1188.5504 634.6842, 0.0831 0.13319999 0.0
1298.06 636.22473, 0.0831 0.17189999 0.0
1297.693 746.3393, 0.0444 0.17189999 0.0
1062.2869 743.4536, 0.0444 0.0888 0.0
1063.4562 633.2626, 0.0831 0.0888 0.0
1172.3457 634.54083, 0.0831 0.1275 0.0
1171.5354 744.5243, 0.0444 0.1275 0.0
936.2784 742.2372, 0.0444 0.0444 0.0
937.7638 631.7814, 0.0831 0.0444 0.0
1047.0842 633.0711, 0.0831 0.0831 0.0
1045.6852 743.2723, 0.0444 0.0831 0.0
809.4704 740.7299, 0.0444 0.0 0.0
811.21906 630.4173, 0.0831 0.0 0.0
921.2425 631.6921, 0.0831 0.0387 0.0
919.6291 742.07587, 0.0444 0.0387 0.0
1314.5878 620.2022, 0.0888 0.1776 0.0
1315.666 510.9658, 0.1275 0.1776 0.0
1426.2993 512.3396, 0.1275 0.2163 0.0
1425.0094 621.6086, 0.0888 0.2163 0.0
1188.7197 618.2624, 0.0888 0.13319999 0.0
1190.3394 509.44464, 0.1275 0.13319999 0.0
1299.3676 510.76913, 0.1275 0.17189999 0.0
1298.1833 619.83997, 0.0888 0.17189999 0.0
1063.6328 616.8318, 0.0888 0.0888 0.0
1065.1393 507.65598, 0.1275 0.0888 0.0
1174.007 509.07928, 0.1275 0.1275 0.0
1172.5221 618.17914, 0.0888 0.1275 0.0
937.99194 615.4333, 0.0888 0.0444 0.0
939.61523 505.90802, 0.1275 0.0444 0.0
1048.5256 507.4246, 0.1275 0.0831 0.0
1047.2654 616.5885, 0.0888 0.0831 0.0
811.4452 614.0584, 0.0888 0.0 0.0
813.01404 504.32764, 0.1275 0.0 0.0
922.95166 505.75418, 0.1275 0.0387 0.0
921.4061 615.2877, 0.0888 0.0387 0.0
1315.998 494.64658, 0.13319999 0.1776 0.0
1318.2352 385.15332, 0.17189999 0.1776 0.0
1427.9495 386.2637, 0.17189999 0.2163 0.0
1426.3461 495.90802, 0.13319999 0.2163 0.0
1190.4972 493.10077, 0.13319999 0.13319999 0.0
1192.6091 383.56897, 0.17189999 0.13319999 0.0
1301.6414 384.81946, 0.17189999 0.17189999 0.0
1299.4644 494.41122, 0.13319999 0.17189999 0.0
1065.4327 491.37036, 0.13319999 0.0888 0.0
1067.226 381.7277, 0.17189999 0.0888 0.0
1176.0933 383.4025, 0.17189999 0.1275 0.0
1174.2821 492.88583, 0.13319999 0.1275 0.0
939.7647 489.51385, 0.13319999 0.0444 0.0
941.3417 379.65793, 0.17189999 0.0444 0.0
1050.4423 381.57492, 0.17189999 0.0831 0.0
1048.8269 491.1299, 0.13319999 0.0831 0.0
813.3293 487.86835, 0.13319999 0.0 0.0
814.81757 377.75113, 0.17189999 0.0 0.0
924.5846 379.39847, 0.17189999 0.0387 0.0
923.19495 489.2563, 0.13319999 0.0387 0.0
