1146.8198 532.6606, 0.0 0.0 0.0
1135.7668 437.7879, 0.0387 0.0 0.0
1227.2362 428.54504, 0.0387 0.0387 0.0
1238.4834 522.5083, 0.0 0.0387 0.0
1252.3558 521.09247, 0.0 0.0444 0.0
1241.0671 427.27707, 0.0387 0.0444 0.0
1330.3898 417.91025, 0.0387 0.0831 0.0
1341.9825 511.00983, 0.0 0.0831 0.0
1355.6766 509.478, 0.0 0.0888 0.0
1344.056 416.66708, 0.0387 0.0888 0.0
1431.8153 407.64105, 0.0387 0.1275 0.0
1443.5621 499.5626, 0.0 0.1275 0.0
1456.9794 498.10297, 0.0 0.13319999 0.0
1445.1548 406.49805, 0.0387 0.13319999 0.0
1530.9795 397.5072, 0.0387 0.17189999 0.0
1542.743 488.49594, 0.0 0.17189999 0.0
1555.9685 487.08997, 0.0 0.1776 0.0
1543.9006 396.38504, 0.0387 0.1776 0.0
1627.2068 387.8353, 0.0387 0.2163 0.0
1638.9557 477.56888, 0.0 0.2163 0.0
1134.219 423.29205, 0.0444 0.0 0.0
1123.566 327.84314, 0.0831 0.0 0.0
1214.7659 319.75897, 0.0831 0.0387 0.0
1225.5319 414.2167, 0.0444 0.0387 0.0
1239.4227 412.96582, 0.0444 0.0444 0.0
1228.6718 318.5712, 0.0831 0.0444 0.0
1317.83 310.4593, 0.0831 0.0831 0.0
1328.6715 403.84018, 0.0444 0.0831 0.0
1342.4446 402.544, 0.0444 0.0888 0.0
1331.534 309.37866, 0.0831 0.0888 0.0
1418.8627 301.36105, 0.0831 0.1275 0.0
1430.0834 393.53598, 0.0444 0.1275 0.0
1443.4772 392.30997, 0.0444 0.13319999 0.0
1432.3267 300.28278, 0.0831 0.13319999 0.0
1517.527 292.54422, 0.0831 0.17189999 0.0
1529.1659 383.56143, 0.0444 0.17189999 0.0
1121.9471 313.40567, 0.0888 0.0 0.0
1111.497 218.44882, 0.1275 0.0 0.0
1203.058 211.13092, 0.1275 0.0387 0.0
1213.3436 305.324, 0.0888 0.0387 0.0
1227.2162 304.2307, 0.0888 0.0444 0.0
1217.0176 210.2164, 0.1275 0.0444 0.0
1306.2513 203.07483, 0.1275 0.0831 0.0
1316.2782 296.24377, 0.0888 0.0831 0.0
1329.9808 295.173, 0.0888 0.0888 0.0
1319.9235 202.24554, 0.1275 0.0888 0.0
1407.0883 195.48077, 0.1275 0.1275 0.0
1417.202 287.32257, 0.0888 0.1275 0.0
1430.6599 286.16306, 0.0888 0.13319999 0.0
1420.5658 194.61378, 0.1275 0.13319999 0.0
1505.2854 188.24965, 0.1275 0.17189999 0.0
1515.925 278.6417, 0.0888 0.17189999 0.0
1529.0793 277.62173, 0.0888 0.1776 0.0
1518.254 187.4174, 0.1275 0.1776 0.0
1600.7426 181.47202, 0.1275 0.2163 0.0
1612.0668 270.47638, 0.0888 0.2163 0.0
1110.0139 203.7635, 0.13319999 0.0 0.0
1099.8306 107.58288, 0.17189999 0.0 0.0
1191.7695 101.31753, 0.17189999 0.0387 0.0
1201.5465 196.65897, 0.13319999 0.0387 0.0
1215.6083 195.53629, 0.13319999 0.0444 0.0
1205.9218 100.557304, 0.17189999 0.0444 0.0
1295.3362 94.87137, 0.17189999 0.0831 0.0
1304.9126 188.59436, 0.13319999 0.0831 0.0
1318.5822 187.55621, 0.13319999 0.0888 0.0
1309.2578 93.945175, 0.17189999 0.0888 0.0
1396.1682 88.86547, 0.17189999 0.1275 0.0
1405.6416 181.20117, 0.13319999 0.1275 0.0
1419.0463 180.39003, 0.13319999 0.13319999 0.0
1409.382 88.177536, 0.17189999 0.13319999 0.0
1493.5475 83.545, 0.17189999 0.17189999 0.0
1503.6619 174.23523, 0.13319999 0.17189999 0.0
1516.591 173.40483, 0.13319999 0.1776 0.0
1506.5026 83.01583, 0.17189999 0.1776 0.0
1588.1799 78.637825, 0.17189999 0.2163 0.0
1599.1082 167.58812, 0.13319999 0.2163 0.0
1542.3629 382.37646, 0.0444 0.1776 0.0
1530.5432 291.79358, 0.0831 0.1776 0.0
1613.699 284.0773, 0.0831 0.2163 0.0
1625.4757 374.0608, 0.0444 0.2163 0.0
