1006.5335 885.1504, 0.0 0.1776 0.0
1058.5571 809.4793, 0.0387 0.1776 0.0
1134.5226 853.08215, 0.0387 0.2163 0.0
1082.5361 926.868, 0.0 0.2163 0.0
915.98285 835.86163, 0.0 0.13319999 0.0
968.35974 758.59924, 0.0387 0.13319999 0.0
1047.0028 803.22736, 0.0387 0.17189999 0.0
994.62805 879.03015, 0.0 0.17189999 0.0
1066.3088 797.8617, 0.0444 0.1776 0.0
1119.9333 721.11414, 0.0831 0.1776 0.0
1195.9081 766.4218, 0.0831 0.2163 0.0
1142.4375 841.7351, 0.0444 0.2163 0.0
821.853 785.41925, 0.0 0.0888 0.0
874.5446 706.4665, 0.0387 0.0888 0.0
956.37274 752.03705, 0.0387 0.1275 0.0
903.87976 829.65424, 0.0 0.1275 0.0
976.2088 746.88275, 0.0444 0.13319999 0.0
1030.1616 667.9891, 0.0831 0.13319999 0.0
1108.339 714.3794, 0.0831 0.17189999 0.0
1054.7229 791.59534, 0.0444 0.17189999 0.0
723.8748 732.8131, 0.0 0.0444 0.0
777.06934 651.5249, 0.0387 0.0444 0.0
862.0904 699.45056, 0.0387 0.0831 0.0
809.2809 778.7389, 0.0 0.0831 0.0
1127.9205 709.50946, 0.0888 0.1776 0.0
1182.9818 631.87036, 0.1275 0.1776 0.0
1258.7992 678.9034, 0.1275 0.2163 0.0
1203.8746 755.11334, 0.0888 0.2163 0.0
882.45874 694.1732, 0.0444 0.0888 0.0
936.70276 613.2439, 0.0831 0.0888 0.0
1017.9789 661.0878, 0.0831 0.1275 0.0
964.1032 740.42175, 0.0444 0.1275 0.0
621.2585 677.766, 0.0 0.0 0.0
674.58215 594.5748, 0.0387 0.0 0.0
763.8398 644.45734, 0.0387 0.0387 0.0
710.8679 725.946, 0.0 0.0387 0.0
1037.9243 655.8851, 0.0888 0.13319999 0.0
1093.5045 576.5015, 0.1275 0.13319999 0.0
1171.4526 624.8407, 0.1275 0.17189999 0.0
1116.3755 702.86743, 0.0888 0.17189999 0.0
784.7013 639.2022, 0.0444 0.0444 0.0
839.15045 556.1202, 0.0831 0.0444 0.0
924.16125 606.16986, 0.0831 0.0831 0.0
869.8216 687.34357, 0.0444 0.0831 0.0
1191.0668 619.92975, 0.13319999 0.1776 0.0
1248.4833 540.36664, 0.17189999 0.1776 0.0
1324.0281 589.27405, 0.17189999 0.2163 0.0
1267.0607 667.32574, 0.13319999 0.2163 0.0
944.5168 600.9926, 0.0888 0.0888 0.0
1000.10596 518.95233, 0.1275 0.0888 0.0
1081.3612 569.1894, 0.1275 0.1275 0.0
1026.013 649.2811, 0.0888 0.1275 0.0
682.6013 581.56085, 0.0444 0.0 0.0
737.3622 496.3629, 0.0831 0.0 0.0
826.1428 548.6263, 0.0831 0.0387 0.0
771.6126 632.0268, 0.0444 0.0387 0.0
1101.4712 564.2108, 0.13319999 0.13319999 0.0
1158.8907 482.77032, 0.17189999 0.13319999 0.0
1237.0198 533.34155, 0.17189999 0.17189999 0.0
1179.6136 612.8983, 0.13319999 0.17189999 0.0
847.30316 543.6355, 0.0888 0.0444 0.0
902.7811 458.99283, 0.1275 0.0444 0.0
987.44006 511.32715, 0.1275 0.0831 0.0
932.1179 593.8196, 0.0888 0.0831 0.0
1008.38074 506.46857, 0.13319999 0.0888 0.0
1065.6011 422.29184, 0.17189999 0.0888 0.0
1146.9822 475.23123, 0.17189999 0.1275 0.0
1089.5563 556.98615, 0.13319999 0.1275 0.0
745.21655 483.2734, 0.0888 0.0 0.0
800.6712 396.42926, 0.1275 0.0 0.0
889.59125 451.0567, 0.1275 0.0387 0.0
833.9116 536.0202, 0.0888 0.0387 0.0
910.9545 446.13412, 0.13319999 0.0444 0.0
968.2421 359.39377, 0.17189999 0.0444 0.0
1053.0557 414.44693, 0.17189999 0.0831 0.0
995.6359 498.83432, 0.13319999 0.0831 0.0
808.984 382.66647, 0.13319999 0.0 0.0
866.15924 292.71472, 0.17189999 0.0 0.0
955.1267 350.78662, 0.17189999 0.0387 0.0
897.73865 438.1189, 0.13319999 0.0387 0.0
