565.0397 971.7122, 0.0 0.1776 0.0
650.6026 916.486, 0.0387 0.1776 0.0
697.9763 989.47, 0.0387 0.2163 0.0
615.0294 1044.6558, 0.0 0.2163 0.0
663.3886 908.52185, 0.0444 0.1776 0.0
746.3183 854.75085, 0.0831 0.1776 0.0
791.2881 927.744, 0.0831 0.2163 0.0
710.5183 981.71906, 0.0444 0.2163 0.0
758.61505 847.3958, 0.0888 0.1776 0.0
838.3158 796.46216, 0.1275 0.1776 0.0
881.198 868.8124, 0.1275 0.2163 0.0
803.45636 920.1639, 0.0888 0.2163 0.0
850.2073 789.21533, 0.13319999 0.1776 0.0
927.9317 740.49365, 0.17189999 0.1776 0.0
968.5256 812.4707, 0.17189999 0.2163 0.0
892.8036 861.72174, 0.13319999 0.2163 0.0
705.4154 760.9878, 0.0888 0.13319999 0.0
787.5086 710.59674, 0.1275 0.13319999 0.0
832.02185 785.44403, 0.1275 0.17189999 0.0
751.88214 836.26184, 0.0888 0.17189999 0.0
547.9323 732.04443, 0.0444 0.0888 0.0
636.72046 679.2376, 0.0831 0.0888 0.0
685.6216 757.0694, 0.0831 0.1275 0.0
599.6631 810.23444, 0.0444 0.1275 0.0
799.67706 703.45874, 0.13319999 0.13319999 0.0
879.7612 655.17474, 0.17189999 0.13319999 0.0
921.9217 729.6169, 0.17189999 0.17189999 0.0
843.93726 778.279, 0.13319999 0.17189999 0.0
649.7134 671.70514, 0.0888 0.0888 0.0
734.7814 621.72174, 0.1275 0.0888 0.0
781.09216 699.0211, 0.1275 0.1275 0.0
698.4568 749.4006, 0.0888 0.1275 0.0
486.11636 638.02637, 0.0444 0.0444 0.0
578.00256 585.83826, 0.0831 0.0444 0.0
629.41846 667.1931, 0.0831 0.0831 0.0
540.34265 719.68665, 0.0444 0.0831 0.0
747.07935 614.5529, 0.13319999 0.0888 0.0
829.4048 566.43164, 0.17189999 0.0888 0.0
873.41077 643.6614, 0.17189999 0.1275 0.0
793.27716 692.0477, 0.13319999 0.1275 0.0
310.3251 600.57697, 0.0 0.0 0.0
406.92123 547.28357, 0.0387 0.0 0.0
464.09662 633.1521, 0.0387 0.0387 0.0
369.4812 686.9212, 0.0 0.0387 0.0
591.46967 578.47894, 0.0888 0.0444 0.0
679.2511 528.89996, 0.1275 0.0444 0.0
727.6441 609.4959, 0.1275 0.0831 0.0
642.51575 659.5951, 0.0888 0.0831 0.0
421.2715 539.49255, 0.0444 0.0 0.0
515.8547 488.184, 0.0831 0.0 0.0
570.2084 573.23627, 0.0831 0.0387 0.0
478.03708 625.29944, 0.0444 0.0387 0.0
692.0841 521.55444, 0.13319999 0.0444 0.0
777.03436 473.51358, 0.17189999 0.0444 0.0
822.6234 554.2069, 0.17189999 0.0831 0.0
740.2001 602.4304, 0.13319999 0.0831 0.0
529.7492 480.5083, 0.0888 0.0 0.0
620.63525 431.5441, 0.1275 0.0 0.0
671.83246 515.9199, 0.1275 0.0387 0.0
583.84155 565.8, 0.0888 0.0387 0.0
633.8578 424.17554, 0.13319999 0.0 0.0
721.55945 376.3194, 0.17189999 0.0 0.0
769.8544 460.79086, 0.17189999 0.0387 0.0
684.8258 508.97116, 0.13319999 0.0387 0.0
505.64468 884.7628, 0.0 0.13319999 0.0
593.966 830.1557, 0.0387 0.13319999 0.0
643.33453 905.23193, 0.0387 0.17189999 0.0
557.4757 960.55835, 0.0 0.17189999 0.0
607.0454 821.6865, 0.0444 0.13319999 0.0
692.75433 768.7749, 0.0831 0.13319999 0.0
739.44543 843.65216, 0.0831 0.17189999 0.0
656.21 897.295, 0.0444 0.17189999 0.0
443.27316 794.30493, 0.0 0.0888 0.0
534.4926 739.71606, 0.0387 0.0888 0.0
586.3926 818.0479, 0.0387 0.1275 0.0
497.71844 873.18164, 0.0 0.1275 0.0
378.09155 699.78796, 0.0 0.0444 0.0
472.32492 645.9053, 0.0387 0.0444 0.0
526.63696 727.5012, 0.0387 0.0831 0.0
435.06375 782.18756, 0.0 0.0831 0.0
