1109.4482 997.86066, 0.0888 0.1776 0.0
1156.908 930.1686, 0.1275 0.1776 0.0
1210.7065 990.7448, 0.1275 0.2163 0.0
1165.3569 1060.1418, 0.0888 0.2163 0.0
769.7234 939.79364, 0.0 0.0444 0.0
834.39795 865.9622, 0.0387 0.0444 0.0
895.7985 933.02295, 0.0387 0.0831 0.0
834.37067 1009.0739, 0.0 0.0831 0.0
914.0741 932.1555, 0.0444 0.0888 0.0
970.7862 861.9262, 0.0831 0.0888 0.0
1028.0194 926.1148, 0.0831 0.1275 0.0
973.9133 998.37146, 0.0444 0.1275 0.0
1044.5563 925.3677, 0.0888 0.13319999 0.0
1094.5299 859.16394, 0.1275 0.13319999 0.0
1148.5776 920.4994, 0.1275 0.17189999 0.0
1100.8695 988.5366, 0.0888 0.17189999 0.0
1163.8932 919.781, 0.13319999 0.1776 0.0
1209.408 856.87024, 0.17189999 0.1776 0.0
1260.3293 915.83124, 0.17189999 0.2163 0.0
1217.4579 980.4084, 0.13319999 0.2163 0.0
1101.9996 849.4682, 0.13319999 0.13319999 0.0
1149.7098 787.92505, 0.17189999 0.13319999 0.0
1201.4337 847.55927, 0.17189999 0.17189999 0.0
1155.7341 910.6471, 0.13319999 0.17189999 0.0
978.9846 851.61584, 0.0888 0.0888 0.0
1031.6454 787.3935, 0.1275 0.0888 0.0
1086.2686 849.6747, 0.1275 0.1275 0.0
1035.8978 915.74646, 0.0888 0.1275 0.0
843.7289 854.78455, 0.0444 0.0444 0.0
903.6607 786.9485, 0.0831 0.0444 0.0
962.04285 851.9006, 0.0831 0.0831 0.0
904.8258 922.0326, 0.0444 0.0831 0.0
693.23175 858.49255, 0.0 0.0 0.0
761.66205 786.79126, 0.0387 0.0 0.0
824.769 855.37463, 0.0387 0.0387 0.0
759.7623 929.16077, 0.0 0.0387 0.0
1039.5265 777.9285, 0.13319999 0.0888 0.0
1089.4559 718.27234, 0.17189999 0.0888 0.0
1141.9465 778.58746, 0.17189999 0.1275 0.0
1093.7682 840.0742, 0.13319999 0.1275 0.0
912.41595 776.864, 0.0888 0.0444 0.0
967.6259 714.4867, 0.1275 0.0444 0.0
1023.4272 777.4632, 0.1275 0.0831 0.0
970.4286 841.73065, 0.0888 0.0831 0.0
771.51715 776.15894, 0.0444 0.0 0.0
834.7272 710.34265, 0.0831 0.0 0.0
894.67676 776.56116, 0.0831 0.0387 0.0
834.3984 844.56116, 0.0444 0.0387 0.0
975.91876 705.2627, 0.13319999 0.0444 0.0
1028.0419 647.19916, 0.17189999 0.0444 0.0
1081.3868 708.6501, 0.17189999 0.0831 0.0
1031.2141 768.3433, 0.13319999 0.0831 0.0
843.933 700.5436, 0.0888 0.0 0.0
902.06024 639.9417, 0.1275 0.0 0.0
959.18866 704.61176, 0.1275 0.0387 0.0
903.5791 766.8042, 0.0888 0.0387 0.0
910.4151 630.99927, 0.13319999 0.0 0.0
964.70123 574.6936, 0.17189999 0.0 0.0
1019.7458 637.3093, 0.17189999 0.0387 0.0
967.3464 695.53217, 0.13319999 0.0387 0.0
983.07654 1007.9459, 0.0444 0.13319999 0.0
1036.568 935.9501, 0.0831 0.13319999 0.0
1093.3646 999.2309, 0.0831 0.17189999 0.0
1042.2506 1073.0245, 0.0444 0.17189999 0.0
