1197.5205 675.35864, 0.0 0.1776 0.0
1202.4517 583.08734, 0.0387 0.1776 0.0
1294.6743 593.83496, 0.0387 0.2163 0.0
1291.4867 686.3427, 0.0 0.2163 0.0
1089.1537 663.01556, 0.0 0.13319999 0.0
1096.1672 570.55164, 0.0387 0.13319999 0.0
1188.4097 581.5356, 0.0387 0.17189999 0.0
1183.3722 673.7096, 0.0 0.17189999 0.0
979.8527 650.39, 0.0 0.0888 0.0
989.09644 557.6486, 0.0387 0.0888 0.0
1082.3049 568.92, 0.0387 0.1275 0.0
1075.0281 661.3383, 0.0 0.1275 0.0
869.5274 637.80005, 0.0 0.0444 0.0
880.7383 544.6405, 0.0387 0.0444 0.0
974.7341 555.9435, 0.0387 0.0831 0.0
965.44635 648.7611, 0.0 0.0831 0.0
757.8397 624.8596, 0.0 0.0 0.0
771.3483 531.3618, 0.0387 0.0 0.0
866.5147 542.90967, 0.0387 0.0387 0.0
855.0427 636.2521, 0.0 0.0387 0.0
1203.0552 569.3222, 0.0444 0.1776 0.0
1207.8735 480.33557, 0.0831 0.1776 0.0
1298.5197 491.05997, 0.0831 0.2163 0.0
1295.2692 580.11487, 0.0444 0.2163 0.0
1097.2224 556.6711, 0.0444 0.13319999 0.0
1104.1335 467.60193, 0.0831 0.13319999 0.0
1194.3827 478.76413, 0.0831 0.17189999 0.0
1189.3594 567.66376, 0.0444 0.17189999 0.0
990.3886 544.01086, 0.0444 0.0888 0.0
999.2681 454.27728, 0.0831 0.0888 0.0
1090.2848 465.85742, 0.0831 0.1275 0.0
1083.2239 555.1487, 0.0444 0.1275 0.0
882.46606 530.57385, 0.0444 0.0444 0.0
893.4268 440.72382, 0.0831 0.0444 0.0
985.3142 452.5973, 0.0831 0.0831 0.0
976.26074 542.2559, 0.0444 0.0831 0.0
773.2115 517.55835, 0.0444 0.0 0.0
786.16583 427.35242, 0.0831 0.0 0.0
879.39526 439.11545, 0.0831 0.0387 0.0
868.0773 529.11255, 0.0444 0.0387 0.0
1208.7599 467.09747, 0.0888 0.1776 0.0
1213.9583 381.52258, 0.1275 0.1776 0.0
1302.7504 392.30478, 0.1275 0.2163 0.0
1299.1553 477.73108, 0.0888 0.2163 0.0
1105.1387 454.29346, 0.0888 0.13319999 0.0
1111.8492 368.53452, 0.1275 0.13319999 0.0
1200.5428 379.76407, 0.1275 0.17189999 0.0
1195.1653 465.45157, 0.0888 0.17189999 0.0
1000.6091 440.80872, 0.0888 0.0888 0.0
1009.2963 354.94446, 0.1275 0.0888 0.0
1098.518 366.7611, 0.1275 0.1275 0.0
1091.3357 452.46683, 0.0888 0.1275 0.0
894.9505 427.34265, 0.0888 0.0444 0.0
905.48676 341.29904, 0.1275 0.0444 0.0
995.56836 353.17957, 0.1275 0.0831 0.0
986.5698 439.15744, 0.0888 0.0831 0.0
787.91956 413.6665, 0.0888 0.0 0.0
800.3162 327.3598, 0.1275 0.0 0.0
891.63666 339.55402, 0.1275 0.0387 0.0
880.98505 425.56854, 0.0888 0.0387 0.0
1214.8093 368.51932, 0.13319999 0.1776 0.0
1220.6641 285.0605, 0.17189999 0.1776 0.0
1307.4714 296.17404, 0.17189999 0.2163 0.0
1303.2924 379.27603, 0.13319999 0.2163 0.0
1112.921 355.50174, 0.13319999 0.13319999 0.0
1120.2117 271.81177, 0.17189999 0.13319999 0.0
1207.4103 283.45038, 0.17189999 0.17189999 0.0
1201.3854 367.00705, 0.13319999 0.17189999 0.0
1010.51733 341.85992, 0.13319999 0.0888 0.0
1019.0735 258.21164, 0.17189999 0.0888 0.0
1106.8864 270.05774, 0.17189999 0.1275 0.0
1099.4833 353.75778, 0.13319999 0.1275 0.0
907.06744 328.32053, 0.13319999 0.0444 0.0
917.0467 244.32173, 0.17189999 0.0444 0.0
1005.62573 256.4296, 0.17189999 0.0831 0.0
996.76105 340.26593, 0.13319999 0.0831 0.0
801.9605 314.3313, 0.13319999 0.0 0.0
813.6283 230.40944, 0.17189999 0.0 0.0
903.4938 242.4596, 0.17189999 0.0387 0.0
893.0549 326.49847, 0.13319999 0.0387 0.0
