647.8745 980.1346, 0.0 0.0444 0.0
675.23914 884.7637, 0.0387 0.0444 0.0
766.5219 908.75696, 0.0387 0.0831 0.0
740.0459 1004.60254, 0.0 0.0831 0.0
994.6946 953.71326, 0.0444 0.1776 0.0
1017.9656 858.83966, 0.0831 0.1776 0.0
1109.2041 883.8502, 0.0831 0.2163 0.0
1086.667 979.1725, 0.0444 0.2163 0.0
541.8238 951.7401, 0.0 0.0 0.0
570.0294 857.23956, 0.0387 0.0 0.0
661.3336 881.30035, 0.0387 0.0387 0.0
633.7814 976.6439, 0.0 0.0387 0.0
889.4731 925.48816, 0.0444 0.13319999 0.0
913.832 831.0865, 0.0831 0.13319999 0.0
1004.301 855.55975, 0.0831 0.17189999 0.0
980.8363 950.3012, 0.0444 0.17189999 0.0
784.17175 897.70703, 0.0444 0.0888 0.0
809.7878 803.7524, 0.0831 0.0888 0.0
900.2073 827.7729, 0.0831 0.1275 0.0
875.61206 921.86, 0.0444 0.1275 0.0
679.2581 870.36395, 0.0444 0.0444 0.0
705.7143 777.02106, 0.0831 0.0444 0.0
796.2093 800.43414, 0.0831 0.0831 0.0
770.39996 894.3284, 0.0444 0.0831 0.0
1021.40466 844.7598, 0.0888 0.1776 0.0
1044.3811 753.2315, 0.1275 0.1776 0.0
1134.6139 777.3604, 0.1275 0.2163 0.0
1112.5278 869.5615, 0.0888 0.2163 0.0
573.73444 843.0011, 0.0444 0.0 0.0
601.2591 750.1237, 0.0831 0.0 0.0
692.2169 773.4848, 0.0831 0.0387 0.0
665.07886 866.92267, 0.0444 0.0387 0.0
917.362 817.0468, 0.0888 0.13319999 0.0
940.92523 726.2465, 0.1275 0.13319999 0.0
1030.8171 749.6985, 0.1275 0.17189999 0.0
1007.58563 841.3861, 0.0888 0.17189999 0.0
813.5172 789.9465, 0.0888 0.0888 0.0
838.2476 699.01447, 0.1275 0.0888 0.0
927.68915 722.403, 0.1275 0.1275 0.0
903.71295 813.5772, 0.0888 0.1275 0.0
709.54706 762.68665, 0.0888 0.0444 0.0
735.3919 671.85144, 0.1275 0.0444 0.0
824.7176 695.3914, 0.1275 0.0831 0.0
799.8935 786.42444, 0.0888 0.0831 0.0
1047.6628 739.33746, 0.13319999 0.1776 0.0
1070.5406 649.503, 0.17189999 0.1776 0.0
1159.9496 672.7023, 0.17189999 0.2163 0.0
1137.7284 763.419, 0.13319999 0.2163 0.0
605.1802 735.94653, 0.0888 0.0 0.0
631.90765 645.10815, 0.1275 0.0 0.0
721.79974 668.5325, 0.1275 0.0387 0.0
695.9066 759.4896, 0.0888 0.0387 0.0
944.5801 712.23254, 0.13319999 0.13319999 0.0
968.08826 622.6327, 0.17189999 0.13319999 0.0
1057.175 645.7571, 0.17189999 0.17189999 0.0
1034.1304 736.05756, 0.13319999 0.17189999 0.0
841.6794 685.2923, 0.13319999 0.0888 0.0
865.83923 595.8178, 0.17189999 0.0888 0.0
954.715 618.9896, 0.17189999 0.1275 0.0
931.04407 709.03564, 0.13319999 0.1275 0.0
738.89606 658.36365, 0.13319999 0.0444 0.0
763.6889 568.8083, 0.17189999 0.0444 0.0
852.2904 592.2949, 0.17189999 0.0831 0.0
828.1083 681.96564, 0.13319999 0.0831 0.0
635.6702 631.7335, 0.13319999 0.0 0.0
661.58 542.5072, 0.17189999 0.0 0.0
750.46796 565.4525, 0.17189999 0.0387 0.0
725.394 655.1248, 0.13319999 0.0387 0.0
860.6843 1036.4967, 0.0 0.13319999 0.0
885.8101 939.97314, 0.0387 0.13319999 0.0
977.16504 964.70575, 0.0387 0.17189999 0.0
953.17645 1061.7275, 0.0 0.17189999 0.0
754.07855 1008.1068, 0.0 0.0888 0.0
780.50226 912.38293, 0.0387 0.0888 0.0
871.85364 936.54346, 0.0387 0.1275 0.0
846.6201 1032.8549, 0.0 0.1275 0.0
