1090.6819 370.9307, 0.0 0.1776 0.0
1091.9404 286.79266, 0.0387 0.1776 0.0
1177.5397 286.50385, 0.0387 0.2163 0.0
1176.2778 371.2265, 0.0 0.2163 0.0
993.32275 370.37497, 0.0 0.13319999 0.0
994.5978 286.91888, 0.0387 0.13319999 0.0
1078.9663 286.8619, 0.0387 0.17189999 0.0
1077.658 370.88535, 0.0 0.17189999 0.0
896.7056 369.96014, 0.0 0.0888 0.0
898.17206 286.6035, 0.0387 0.0888 0.0
981.7845 286.88235, 0.0387 0.1275 0.0
980.39655 370.31863, 0.0 0.1275 0.0
800.98267 369.27448, 0.0 0.0444 0.0
802.4791 286.26688, 0.0387 0.0444 0.0
885.4145 286.58856, 0.0387 0.0831 0.0
883.86444 369.75412, 0.0 0.0831 0.0
706.16766 368.50256, 0.0 0.0 0.0
707.4869 285.46716, 0.0387 0.0 0.0
789.79114 285.99603, 0.0387 0.0387 0.0
788.49976 369.28226, 0.0 0.0387 0.0
898.42896 273.8729, 0.0444 0.0888 0.0
899.67645 189.51952, 0.0831 0.0888 0.0
983.2739 189.6057, 0.0831 0.1275 0.0
982.04285 274.1085, 0.0444 0.1275 0.0
802.6682 273.2884, 0.0444 0.0444 0.0
803.6919 189.34518, 0.0831 0.0444 0.0
886.6884 189.4835, 0.0831 0.0831 0.0
885.60034 273.74405, 0.0444 0.0831 0.0
994.77527 274.10733, 0.0444 0.13319999 0.0
996.206 189.59698, 0.0831 0.13319999 0.0
1080.5522 189.0315, 0.0831 0.17189999 0.0
1079.2415 273.80838, 0.0444 0.17189999 0.0
707.48145 272.7364, 0.0444 0.0 0.0
708.45966 188.87453, 0.0831 0.0 0.0
791.1423 189.23238, 0.0831 0.0387 0.0
790.1659 273.31412, 0.0444 0.0387 0.0
1092.2468 273.7936, 0.0444 0.1776 0.0
1093.6215 188.90985, 0.0831 0.1776 0.0
1179.1582 187.96352, 0.0831 0.2163 0.0
1177.5895 273.38818, 0.0444 0.2163 0.0
899.68195 176.62698, 0.0888 0.0888 0.0
900.9946 92.00067, 0.1275 0.0888 0.0
984.7568 91.661064, 0.1275 0.1275 0.0
983.5611 176.44617, 0.0888 0.1275 0.0
803.97845 176.3777, 0.0888 0.0444 0.0
805.0564 92.20864, 0.1275 0.0444 0.0
888.29224 92.041985, 0.1275 0.0831 0.0
887.11035 176.51346, 0.0888 0.0831 0.0
708.5818 175.81828, 0.0888 0.0 0.0
709.65845 92.45679, 0.1275 0.0 0.0
792.1723 92.28876, 0.1275 0.0387 0.0
791.3659 176.40553, 0.0888 0.0387 0.0
996.37524 176.49043, 0.0888 0.13319999 0.0
997.77124 91.651405, 0.1275 0.13319999 0.0
1082.2887 90.73615, 0.1275 0.17189999 0.0
1080.733 176.20177, 0.0888 0.17189999 0.0
1093.823 175.92233, 0.0888 0.1776 0.0
1095.5085 90.590065, 0.1275 0.1776 0.0
1181.1641 89.40481, 0.1275 0.2163 0.0
1179.4675 174.56168, 0.0888 0.2163 0.0
