268.6948 1069.8392, 0.0444 0.0888 0.0
249.60928 965.3079, 0.0831 0.0888 0.0
357.93152 936.58734, 0.0831 0.1275 0.0
377.57227 1038.8645, 0.0444 0.1275 0.0
393.4459 1034.6055, 0.0444 0.13319999 0.0
373.89734 932.486, 0.0831 0.13319999 0.0
478.3009 905.1471, 0.0831 0.17189999 0.0
498.1341 1004.9013, 0.0444 0.17189999 0.0
513.503 1000.85675, 0.0444 0.1776 0.0
493.61624 900.8558, 0.0831 0.1776 0.0
594.634 873.52405, 0.0831 0.2163 0.0
614.47235 971.65576, 0.0444 0.2163 0.0
117.166336 983.3559, 0.0888 0.0444 0.0
99.54362 879.2079, 0.1275 0.0444 0.0
211.63278 851.52673, 0.1275 0.0831 0.0
230.23784 953.7087, 0.0888 0.0831 0.0
246.86002 949.4809, 0.0888 0.0888 0.0
228.3368 847.72705, 0.1275 0.0888 0.0
336.11755 821.56616, 0.1275 0.1275 0.0
355.1962 921.2751, 0.0888 0.1275 0.0
370.97812 917.3154, 0.0888 0.13319999 0.0
351.8806 817.8278, 0.1275 0.13319999 0.0
456.02524 792.25464, 0.1275 0.17189999 0.0
475.28955 889.72766, 0.0888 0.17189999 0.0
490.71628 886.1206, 0.0888 0.1776 0.0
471.32465 788.5946, 0.1275 0.1776 0.0
572.1741 763.5256, 0.1275 0.2163 0.0
591.6635 858.8147, 0.0888 0.2163 0.0
96.88523 863.3382, 0.13319999 0.0444 0.0
78.91447 760.76135, 0.17189999 0.0444 0.0
190.36957 735.62756, 0.17189999 0.0831 0.0
208.92415 836.4058, 0.13319999 0.0831 0.0
225.59457 832.52515, 0.13319999 0.0888 0.0
206.80852 732.1833, 0.17189999 0.0888 0.0
314.1154 707.93475, 0.17189999 0.1275 0.0
333.21915 806.38727, 0.13319999 0.1275 0.0
349.06754 802.9932, 0.13319999 0.13319999 0.0
329.83514 704.62823, 0.17189999 0.13319999 0.0
433.79446 681.3076, 0.17189999 0.17189999 0.0
453.20984 777.55566, 0.13319999 0.17189999 0.0
468.5884 774.0673, 0.13319999 0.1776 0.0
449.34286 677.95514, 0.17189999 0.1776 0.0
549.69995 655.4783, 0.17189999 0.2163 0.0
569.28015 749.0887, 0.13319999 0.2163 0.0
