699.17615 1058.8862, 0.0888 0.0 0.0
655.474 979.42566, 0.1275 0.0 0.0
728.3862 921.47656, 0.1275 0.0387 0.0
774.133 999.0062, 0.0888 0.0387 0.0
930.17267 1015.26227, 0.0444 0.0888 0.0
878.30774 933.8494, 0.0831 0.0888 0.0
951.92706 875.2125, 0.0831 0.1275 0.0
1005.7743 953.7976, 0.0444 0.1275 0.0
1017.32153 944.9753, 0.0444 0.13319999 0.0
963.0642 866.2572, 0.0831 0.13319999 0.0
1035.5863 808.46234, 0.0831 0.17189999 0.0
1092.1268 884.5288, 0.0444 0.17189999 0.0
870.8762 922.1347, 0.0888 0.0888 0.0
822.55505 846.8795, 0.1275 0.0888 0.0
893.87286 790.7333, 0.1275 0.1275 0.0
944.15643 863.55365, 0.0888 0.1275 0.0
733.0332 901.2076, 0.13319999 0.0444 0.0
689.2597 828.5127, 0.17189999 0.0444 0.0
759.13727 773.91736, 0.17189999 0.0831 0.0
804.54425 844.5304, 0.13319999 0.0831 0.0
1103.4202 875.59467, 0.0444 0.1776 0.0
1046.6919 799.76715, 0.0831 0.1776 0.0
1119.0078 742.4144, 0.0831 0.2163 0.0
1177.7839 815.7288, 0.0444 0.2163 0.0
955.36694 855.064, 0.0888 0.13319999 0.0
904.7489 782.362, 0.1275 0.13319999 0.0
975.2188 726.9369, 0.1275 0.17189999 0.0
1027.662 797.4009, 0.0888 0.17189999 0.0
815.6574 836.00214, 0.13319999 0.0888 0.0
769.73456 765.558, 0.17189999 0.0888 0.0
838.93176 711.46375, 0.17189999 0.1275 0.0
886.73236 780.10815, 0.13319999 0.1275 0.0
1038.4952 788.71625, 0.0888 0.1776 0.0
985.8107 718.58, 0.1275 0.1776 0.0
1055.8158 663.45825, 0.1275 0.2163 0.0
1110.3279 731.4336, 0.0888 0.2163 0.0
897.4104 771.68665, 0.13319999 0.13319999 0.0
849.4637 703.48444, 0.17189999 0.13319999 0.0
918.0286 650.3847, 0.17189999 0.17189999 0.0
967.51495 716.5178, 0.13319999 0.17189999 0.0
978.2538 708.28156, 0.13319999 0.1776 0.0
928.42365 642.294, 0.17189999 0.1776 0.0
996.46545 589.2333, 0.17189999 0.2163 0.0
1047.7438 653.24243, 0.13319999 0.2163 0.0
1083.8217 1041.8048, 0.0 0.13319999 0.0
1025.7837 957.28955, 0.0387 0.13319999 0.0
1100.8226 896.7877, 0.0387 0.17189999 0.0
1161.5245 978.7885, 0.0 0.17189999 0.0
785.42236 990.16364, 0.0888 0.0444 0.0
739.58276 912.5019, 0.1275 0.0444 0.0
811.5667 855.68475, 0.1275 0.0831 0.0
859.541 931.0008, 0.0888 0.0831 0.0
649.09906 967.6208, 0.13319999 0.0 0.0
607.9127 893.1805, 0.17189999 0.0 0.0
678.4459 837.0082, 0.17189999 0.0387 0.0
721.609 909.69836, 0.13319999 0.0387 0.0
1173.3435 969.4668, 0.0 0.1776 0.0
1112.3823 887.5889, 0.0387 0.1776 0.0
1186.918 827.5664, 0.0387 0.2163 0.0
1250.6288 906.9272, 0.0 0.2163 0.0
