1285.4363 305.1931, 0.0 0.1776 0.0
1375.6694 218.42268, 0.0387 0.1776 0.0
1461.018 301.5294, 0.0387 0.2163 0.0
1368.287 384.20343, 0.0 0.2163 0.0
1189.681 212.49696, 0.0 0.13319999 0.0
1276.5875 121.60683, 0.0387 0.13319999 0.0
1362.7949 205.94968, 0.0387 0.17189999 0.0
1273.0062 293.28372, 0.0 0.17189999 0.0
1390.0283 204.76245, 0.0444 0.1776 0.0
1487.5613 110.75602, 0.0831 0.1776 0.0
1575.6437 198.66367, 0.0831 0.2163 0.0
1475.7135 288.42133, 0.0444 0.2163 0.0
1290.5369 107.10015, 0.0444 0.13319999 0.0
1385.0706 8.423013, 0.0831 0.13319999 0.0
1474.2858 97.47306, 0.0831 0.17189999 0.0
1377.2349 192.0235, 0.0444 0.17189999 0.0
1092.4088 117.96677, 0.0 0.0888 0.0
1176.1089 22.593899, 0.0387 0.0888 0.0
1263.601 108.70226, 0.0387 0.1275 0.0
1177.0226 200.36037, 0.0 0.1275 0.0
