1350.4847 697.48865, 0.0 0.1776 0.0
1404.0175 626.4356, 0.0387 0.1776 0.0
1483.7562 680.31976, 0.0387 0.2163 0.0
1429.0552 753.1099, 0.0 0.2163 0.0
1264.4966 636.87134, 0.0 0.13319999 0.0
1316.5032 567.6889, 0.0387 0.13319999 0.0
1392.2317 618.5694, 0.0387 0.17189999 0.0
1338.9493 689.5831, 0.0 0.17189999 0.0
1412.0302 615.4783, 0.0444 0.1776 0.0
1465.9187 543.7832, 0.0831 0.1776 0.0
1547.1442 595.57556, 0.0831 0.2163 0.0
1492.1321 669.0059, 0.0444 0.2163 0.0
1183.249 579.3461, 0.0 0.0888 0.0
1233.5906 511.7011, 0.0387 0.0888 0.0
1305.3391 560.35364, 0.0387 0.1275 0.0
1253.6588 629.38446, 0.0 0.1275 0.0
1324.2549 557.07996, 0.0444 0.13319999 0.0
1376.6924 487.34586, 0.0831 0.13319999 0.0
1454.2479 536.24286, 0.0831 0.17189999 0.0
1400.1826 607.79095, 0.0444 0.17189999 0.0
1106.1039 524.5344, 0.0 0.0444 0.0
1155.0437 458.42062, 0.0387 0.0444 0.0
1223.1602 504.61517, 0.0387 0.0831 0.0
1172.842 572.2039, 0.0 0.0831 0.0
1241.2267 501.24908, 0.0444 0.0888 0.0
1292.2781 432.72638, 0.0831 0.0888 0.0
1365.607 479.75906, 0.0831 0.1275 0.0
1313.277 549.64886, 0.0444 0.1275 0.0
1032.2045 472.01154, 0.0 0.0 0.0
1080.2855 407.25525, 0.0387 0.0 0.0
1144.9664 451.48712, 0.0387 0.0387 0.0
1095.9424 517.6196, 0.0 0.0387 0.0
1384.8226 476.17972, 0.0888 0.13319999 0.0
1437.8479 405.60596, 0.1275 0.13319999 0.0
1516.1598 453.42487, 0.1275 0.17189999 0.0
1462.1178 525.2758, 0.0888 0.17189999 0.0
1162.3447 447.93967, 0.0444 0.0444 0.0
1212.2756 380.6294, 0.0831 0.0444 0.0
1281.614 425.8312, 0.0831 0.0831 0.0
1230.6633 494.2757, 0.0444 0.0831 0.0
1536.4996 449.52777, 0.13319999 0.1776 0.0
1590.6649 376.64444, 0.17189999 0.1776 0.0
1673.1259 425.51834, 0.17189999 0.2163 0.0
1618.4478 499.4381, 0.13319999 0.2163 0.0
1299.9847 422.046, 0.0888 0.0888 0.0
1351.5922 353.34872, 0.1275 0.0888 0.0
1426.4313 398.66595, 0.1275 0.1275 0.0
1373.5305 469.02234, 0.0888 0.1275 0.0
1087.3047 396.88165, 0.0444 0.0 0.0
1135.4333 331.56253, 0.0831 0.0 0.0
1201.8562 374.39575, 0.0831 0.0387 0.0
1152.3715 441.2137, 0.0444 0.0387 0.0
1219.5508 370.48392, 0.0888 0.0444 0.0
1269.7639 302.9264, 0.1275 0.0444 0.0
1340.6136 346.3883, 0.1275 0.0831 0.0
1289.2267 415.41565, 0.0888 0.0831 0.0
1142.7166 321.0756, 0.0888 0.0 0.0
1191.4093 254.94113, 0.1275 0.0 0.0
1259.0422 296.6441, 0.1275 0.0387 0.0
1209.083 364.14185, 0.0888 0.0387 0.0
1277.2015 292.46436, 0.13319999 0.0444 0.0
1327.9177 223.84785, 0.17189999 0.0444 0.0
1400.2017 265.62546, 0.17189999 0.0831 0.0
1348.3368 335.74762, 0.13319999 0.0831 0.0
1198.6483 244.80103, 0.13319999 0.0 0.0
1247.8524 177.59546, 0.17189999 0.0 0.0
1317.036 217.41939, 0.17189999 0.0387 0.0
1266.4989 286.22226, 0.13319999 0.0387 0.0
1473.9878 532.74554, 0.0888 0.1776 0.0
1528.2776 460.695, 0.1275 0.1776 0.0
1610.2366 510.8753, 0.1275 0.2163 0.0
1555.3411 584.2425, 0.0888 0.2163 0.0
1445.8735 394.70062, 0.13319999 0.13319999 0.0
1499.2582 323.292, 0.17189999 0.13319999 0.0
1578.5542 369.57867, 0.17189999 0.17189999 0.0
1524.5027 442.18, 0.13319999 0.17189999 0.0
1359.394 342.41733, 0.13319999 0.0888 0.0
1411.6553 272.00262, 0.17189999 0.0888 0.0
1487.5913 316.41788, 0.17189999 0.1275 0.0
1434.3514 387.71042, 0.13319999 0.1275 0.0
