1097.0262 756.1082, 0.13319999 0.1776 0.0
1180.1727 779.29846, 0.17189999 0.1776 0.0
1156.0911 847.52625, 0.17189999 0.2163 0.0
1074.8574 825.09125, 0.13319999 0.2163 0.0
1002.4131 730.92523, 0.0888 0.1776 0.0
1084.6093 752.7001, 0.1275 0.1776 0.0
1062.6282 822.0402, 0.1275 0.2163 0.0
982.20715 800.3308, 0.0888 0.2163 0.0
907.1186 706.6, 0.0444 0.1776 0.0
990.04193 727.7314, 0.0831 0.1776 0.0
970.176 797.3306, 0.0831 0.2163 0.0
889.4436 776.37115, 0.0444 0.2163 0.0
812.52167 682.1547, 0.0 0.1776 0.0
894.9297 703.23334, 0.0387 0.1776 0.0
877.20276 773.3841, 0.0387 0.2163 0.0
796.8243 752.4207, 0.0 0.2163 0.0
1123.8265 672.9201, 0.13319999 0.13319999 0.0
1209.4686 696.51245, 0.17189999 0.13319999 0.0
1183.7789 768.4405, 0.17189999 0.17189999 0.0
1100.4861 745.234, 0.13319999 0.17189999 0.0
1026.61 646.9937, 0.0888 0.13319999 0.0
1111.1877 669.5531, 0.1275 0.13319999 0.0
1087.7091 742.0414, 0.1275 0.17189999 0.0
1005.37305 719.8906, 0.0888 0.17189999 0.0
928.6682 621.68994, 0.0444 0.13319999 0.0
1013.7161 643.6773, 0.0831 0.13319999 0.0
992.7315 716.8249, 0.0831 0.17189999 0.0
909.90796 695.2548, 0.0444 0.17189999 0.0
831.3412 596.83795, 0.0 0.13319999 0.0
915.8517 618.49603, 0.0387 0.13319999 0.0
897.38306 692.16736, 0.0387 0.17189999 0.0
814.7725 671.0031, 0.0 0.17189999 0.0
1152.3351 585.38293, 0.13319999 0.0888 0.0
1240.6542 609.0721, 0.17189999 0.0888 0.0
1213.2372 685.29205, 0.17189999 0.1275 0.0
1127.5516 661.411, 0.13319999 0.1275 0.0
1051.9141 558.5462, 0.0888 0.0888 0.0
1139.3596 581.5532, 0.1275 0.0888 0.0
1114.5587 658.1244, 0.1275 0.1275 0.0
1029.6958 635.38245, 0.0888 0.1275 0.0
951.3364 532.3169, 0.0444 0.0888 0.0
1038.917 555.1908, 0.0831 0.0888 0.0
1016.7205 632.14075, 0.0831 0.1275 0.0
931.5359 610.15125, 0.0444 0.1275 0.0
850.8925 506.61935, 0.0 0.0888 0.0
938.0614 529.10394, 0.0387 0.0888 0.0
918.4673 606.89795, 0.0387 0.1275 0.0
833.6593 585.2191, 0.0 0.1275 0.0
1182.6687 491.89502, 0.13319999 0.0444 0.0
1274.109 516.0154, 0.17189999 0.0444 0.0
1244.557 596.8857, 0.17189999 0.0831 0.0
1156.2378 573.03284, 0.13319999 0.0831 0.0
1079.0759 464.56186, 0.0888 0.0444 0.0
1169.1791 488.3658, 0.1275 0.0444 0.0
1143.0283 569.4032, 0.1275 0.0831 0.0
1055.5149 546.21747, 0.0888 0.0831 0.0
975.3348 437.80502, 0.0444 0.0444 0.0
1065.4696 461.1502, 0.0831 0.0444 0.0
1042.2216 542.734, 0.0831 0.0831 0.0
954.2865 519.79596, 0.0444 0.0831 0.0
871.85596 410.9943, 0.0 0.0444 0.0
961.6562 434.15735, 0.0387 0.0444 0.0
940.8186 516.6346, 0.0387 0.0831 0.0
853.6224 494.2625, 0.0 0.0831 0.0
1215.1902 392.117, 0.13319999 0.0 0.0
1309.608 416.28738, 0.17189999 0.0 0.0
1278.3301 503.113, 0.17189999 0.0387 0.0
1186.7856 478.8247, 0.13319999 0.0387 0.0
1108.1896 364.04803, 0.0888 0.0 0.0
1201.1572 388.50946, 0.1275 0.0 0.0
1173.0911 475.31183, 0.1275 0.0387 0.0
1082.7253 451.50864, 0.0888 0.0387 0.0
1000.98645 336.2918, 0.0444 0.0 0.0
1094.0431 360.71622, 0.0831 0.0 0.0
1068.908 448.0684, 0.0831 0.0387 0.0
978.59064 424.3535, 0.0444 0.0387 0.0
894.37067 308.8145, 0.0 0.0 0.0
986.91266 332.7385, 0.0387 0.0 0.0
964.67365 420.93613, 0.0387 0.0387 0.0
874.7398 397.65692, 0.0 0.0387 0.0
