1289.5668 1031.6718, 0.0 0.0 0.0
1194.6243 1002.6225, 0.0387 0.0 0.0
1239.5206 904.75507, 0.0387 0.0387 0.0
1335.3108 935.94226, 0.0 0.0387 0.0
1179.7471 998.4654, 0.0444 0.0 0.0
1080.5085 968.45953, 0.0831 0.0 0.0
1124.6953 867.54254, 0.0831 0.0387 0.0
1224.6976 899.8697, 0.0444 0.0387 0.0
1065.0201 964.2301, 0.0888 0.0 0.0
961.8138 933.0835, 0.1275 0.0 0.0
1006.23956 829.01404, 0.1275 0.0387 0.0
1109.6135 862.4123, 0.0888 0.0387 0.0
945.81964 928.5728, 0.13319999 0.0 0.0
836.9906 896.55237, 0.17189999 0.0 0.0
881.6202 790.5359, 0.17189999 0.0387 0.0
990.3977 824.34875, 0.13319999 0.0387 0.0
1342.0039 921.3613, 0.0 0.0444 0.0
1246.3705 889.45215, 0.0387 0.0444 0.0
1292.17 789.04895, 0.0387 0.0831 0.0
1388.5326 823.3697, 0.0 0.0831 0.0
1231.4276 884.7197, 0.0444 0.0444 0.0
1131.5858 851.75696, 0.0831 0.0444 0.0
1177.1696 748.78503, 0.0831 0.0831 0.0
1277.3973 783.9602, 0.0444 0.0831 0.0
1116.3326 847.0602, 0.0888 0.0444 0.0
1012.7428 813.3232, 0.1275 0.0444 0.0
1058.2517 707.60065, 0.1275 0.0831 0.0
1161.8033 743.52466, 0.0888 0.0831 0.0
1395.3363 808.24866, 0.0 0.0888 0.0
1298.899 773.6083, 0.0387 0.0888 0.0
1346.5245 670.91284, 0.0387 0.1275 0.0
1443.2782 707.7081, 0.0 0.1275 0.0
996.8254 808.5154, 0.13319999 0.0444 0.0
888.3992 774.0139, 0.17189999 0.0444 0.0
934.04706 665.4551, 0.17189999 0.0831 0.0
1042.6066 702.4972, 0.13319999 0.0831 0.0
1284.2361 768.6257, 0.0444 0.0888 0.0
1183.7224 733.02594, 0.0831 0.0888 0.0
1230.6853 627.6365, 0.0831 0.1275 0.0
1331.502 665.55176, 0.0444 0.1275 0.0
1168.4541 727.761, 0.0888 0.0888 0.0
1064.9025 691.47064, 0.1275 0.0888 0.0
1111.8982 583.36884, 0.1275 0.1275 0.0
1215.3885 622.0297, 0.0888 0.1275 0.0
1450.27 692.50507, 0.0 0.13319999 0.0
1353.5814 655.50507, 0.0387 0.13319999 0.0
1402.9045 550.46576, 0.0387 0.17189999 0.0
1500.132 589.498, 0.0 0.17189999 0.0
1049.3749 686.3999, 0.13319999 0.0888 0.0
940.6679 649.0178, 0.17189999 0.0888 0.0
987.63873 537.3915, 0.17189999 0.1275 0.0
1096.2435 577.56494, 0.13319999 0.1275 0.0
1338.393 649.9153, 0.0444 0.13319999 0.0
1237.6329 611.7343, 0.0831 0.13319999 0.0
1286.5919 504.1592, 0.0831 0.17189999 0.0
1387.9233 544.5455, 0.0444 0.17189999 0.0
1222.1965 606.2169, 0.0888 0.13319999 0.0
1118.794 566.80566, 0.1275 0.13319999 0.0
1167.1965 456.24207, 0.1275 0.17189999 0.0
1271.3966 498.12558, 0.0888 0.17189999 0.0
1102.8542 561.2104, 0.13319999 0.13319999 0.0
994.5326 520.2487, 0.17189999 0.13319999 0.0
1042.4691 405.74573, 0.17189999 0.17189999 0.0
1151.3722 449.78967, 0.13319999 0.17189999 0.0
1395.3044 528.5462, 0.0444 0.1776 0.0
1293.8334 487.76624, 0.0831 0.1776 0.0
1345.5891 376.71503, 0.0831 0.2163 0.0
1447.1582 420.24255, 0.0444 0.2163 0.0
1278.5917 481.6604, 0.0888 0.1776 0.0
1174.4517 439.28568, 0.1275 0.1776 0.0
1225.253 324.94623, 0.1275 0.2163 0.0
1330.2308 370.34863, 0.0888 0.2163 0.0
1158.4357 433.0198, 0.13319999 0.1776 0.0
1049.6036 388.37103, 0.17189999 0.1776 0.0
1099.3263 270.219, 0.17189999 0.2163 0.0
1209.0651 318.31253, 0.13319999 0.2163 0.0
1507.4088 573.78735, 0.0 0.1776 0.0
1410.3729 534.4458, 0.0387 0.1776 0.0
1462.0643 426.52594, 0.0387 0.2163 0.0
1558.5571 468.0736, 0.0 0.2163 0.0
