1040.9711 741.55597, 0.0 0.0 0.0
948.5454 700.7893, 0.0387 0.0 0.0
991.92773 612.4011, 0.0387 0.0387 0.0
1085.7856 654.33624, 0.0 0.0387 0.0
934.3675 694.8709, 0.0444 0.0 0.0
839.85187 653.647, 0.0831 0.0 0.0
881.853 563.57837, 0.0831 0.0387 0.0
977.6622 606.1559, 0.0444 0.0387 0.0
825.5867 647.7288, 0.0888 0.0 0.0
730.1265 605.89777, 0.1275 0.0 0.0
770.71594 514.318, 0.1275 0.0387 0.0
867.5879 557.03033, 0.0888 0.0387 0.0
1092.493 640.8097, 0.0 0.0444 0.0
998.4854 598.5944, 0.0387 0.0444 0.0
1043.5713 506.37073, 0.0387 0.0831 0.0
1139.0194 549.90515, 0.0 0.0831 0.0
715.68713 599.9033, 0.13319999 0.0 0.0
617.5875 557.4966, 0.17189999 0.0 0.0
656.2835 463.9638, 0.17189999 0.0387 0.0
756.0353 507.86536, 0.13319999 0.0387 0.0
984.1467 592.4886, 0.0444 0.0444 0.0
887.9995 549.4044, 0.0831 0.0444 0.0
931.6302 455.7652, 0.0831 0.0831 0.0
1029.053 499.91092, 0.0444 0.0831 0.0
873.589 543.2031, 0.0888 0.0444 0.0
776.5288 499.84317, 0.1275 0.0444 0.0
818.48334 404.69174, 0.1275 0.0831 0.0
917.0655 449.2961, 0.0888 0.0831 0.0
1145.6599 535.89514, 0.0 0.0888 0.0
1050.2258 492.05756, 0.0387 0.0888 0.0
1097.4319 395.90442, 0.0387 0.1275 0.0
1194.4626 441.07016, 0.0 0.1275 0.0
761.97955 493.61813, 0.13319999 0.0444 0.0
661.8953 449.50012, 0.17189999 0.0444 0.0
702.1214 352.46323, 0.17189999 0.0831 0.0
803.69885 397.93646, 0.13319999 0.0831 0.0
1035.725 485.5669, 0.0444 0.0888 0.0
938.0082 441.1517, 0.0831 0.0888 0.0
983.33167 343.7158, 0.0831 0.1275 0.0
1082.4061 389.271, 0.0444 0.1275 0.0
923.4037 434.48468, 0.0888 0.0888 0.0
824.71814 389.61096, 0.1275 0.0888 0.0
868.481 289.83517, 0.1275 0.1275 0.0
968.41626 336.5637, 0.0888 0.1275 0.0
1201.522 426.4653, 0.0 0.13319999 0.0
1104.3019 381.2409, 0.0387 0.13319999 0.0
1153.5856 280.633, 0.0387 0.17189999 0.0
1252.8322 327.2964, 0.0 0.17189999 0.0
809.8765 383.16418, 0.13319999 0.0888 0.0
708.3327 337.2473, 0.17189999 0.0888 0.0
750.19556 234.8202, 0.17189999 0.1275 0.0
853.2792 283.13193, 0.13319999 0.1275 0.0
1089.411 374.30215, 0.0444 0.13319999 0.0
990.2965 328.2303, 0.0831 0.13319999 0.0
1037.6527 225.8732, 0.0831 0.17189999 0.0
1138.3816 273.65976, 0.0444 0.17189999 0.0
975.3604 321.4138, 0.0888 0.13319999 0.0
874.8798 274.60855, 0.1275 0.13319999 0.0
920.39374 170.00179, 0.1275 0.17189999 0.0
1022.4726 218.91682, 0.0888 0.17189999 0.0
1260.3933 311.9968, 0.0 0.1776 0.0
1160.8193 265.10327, 0.0387 0.1776 0.0
1213.3861 158.95389, 0.0387 0.2163 0.0
1314.7156 207.48203, 0.0 0.2163 0.0
859.6225 267.69443, 0.13319999 0.13319999 0.0
756.4221 219.25037, 0.17189999 0.13319999 0.0
799.9511 111.969536, 0.17189999 0.17189999 0.0
904.813 162.6331, 0.13319999 0.17189999 0.0
1145.7668 258.1, 0.0444 0.1776 0.0
1044.8558 210.20554, 0.0831 0.1776 0.0
1094.6771 101.88731, 0.0831 0.2163 0.0
1197.7589 151.64204, 0.0444 0.2163 0.0
1029.3094 203.02263, 0.0888 0.1776 0.0
927.14795 153.92876, 0.1275 0.1776 0.0
974.81525 43.613964, 0.1275 0.2163 0.0
1079.0654 94.353, 0.0888 0.2163 0.0
